Variant,Draft,Beam,Water,Fuel,Cabins,Displacement,Make,vscore,Length
Nautitech 44,4.75,24.17,158.0,132.0,3.0,18960.0,Nautitech,338859.79650636704,44.0
Nautitech 441,3.0,22.0,219.0,105.0,4.5,20283.0,Nautitech,290695.94923270855,44.0
Nautitech 442 Owners Version,4.0,22.3,188.75,131.75,6.0,20286.0,Nautitech,437482.5,44.0
Nautitech 46 Fly,4.67,24.58,158.5,158.5,3.0,22798.6,Nautitech,430026.20589993935,45.0
Nautitech 46 Open,4.75,24.75,79.25,79.25,3.0,25311.2,Nautitech,412150.09962116426,45.0
Nautitech 46 open,4.75,24.75,79.25,79.25,3.0,27823.8,Nautitech,428594.7425806295,45.0
Nautitech 47,4.9,24.92,145.125,145.125,4.0,30336.4,Nautitech,440384.9615990583,47.0
Nautitech 542,5.05,28.05,211.0,211.0,3.6666666666666665,32849.0,Nautitech,823953.4149449893,53.5
Nautitech Open 40,4.43,22.67,56.8,56.8,3.3333333333333335,18739.0,Nautitech,273827.4542022873,39.5
Outremer 45,6.5,23.25,108.0,114.0,3.0,20369.5,Outremer,573999.3775871886,45.0
Outremer 49,3.0,24.0,100.0,89.0,3.25,22000.0,Outremer,747830.9097224034,49.0
Privilege 435,4.42,23.33,175.0,105.0,3.5,18300.0,Privilege,432870.2184818371,43.0
Privilege 495,4.785,24.92,166.75,158.17000000000002,3.75,27669.0,Privilege,451182.2717077976,47.0
Privilege Series 5,5.15,26.18,158.5,211.34,4.0,37038.0,Privilege,834787.1742378315,56.0
Seawind 1160,3.58,21.33,185.0,71.0,3.0,14300.0,Seawind,354740.7367960698,38.0
Seawind 1190 Sport,4.92,21.33,185.0,71.0,3.0,15620.0,Seawind,290896.6374967579,39.0
Seawind 1250,3.9,22.3,184.0,126.0,3.6666666666666665,17010.0,Seawind,341886.0768282021,41.0
Seawind 1260,3.67,22.25,185.0,126.0,4.333333333333333,18400.0,Seawind,366433.350528704,41.0
Voyage Yachts 500,3.335,27.08,210.0,132.0,5.0,18400.0,Voyage Yachts,473149.23707820056,50.0
Voyage Yachts 500 Owner's Version,3.0,26.09,210.0,132.0,5.0,18400.0,Voyage Yachts,595000.0,50.0
Voyage Yachts Voyage 480,3.73,25.1,105.0,105.0,5.0,18400.0,Voyage Yachts,463612.5481384631,50.0
Voyage Yachts Voyage 520 DC,3.73,27.1,0.0,0.0,5.0,18400.0,Voyage Yachts,658137.6647383912,52.0
