Type,Make,Variant,Length,GeoRegion,CRS,Price,Year
monohulled,Bavaria,49 Cruiser,50.0,Europe,Croatia,103249,2005
monohulled,Bavaria,49 Cruiser,50.0,Europe,Spain,145744,2005
monohulled,Beneteau,First 40.7,39.0,Europe,Croatia,157889,2005
monohulled,Beneteau,Cyclades 39.3,39.0,USA,Florida,72900,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Greece,78975,2005
monohulled,Beneteau,First 40.7,39.0,USA,Illinois,124500,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Italy,103275,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Italy,82620,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Caribbean,Mexico,99000,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Portugal,101427,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Spain,108108,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Spain,103249,2005
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,United Kingdom,95860,2005
monohulled,Beneteau,Oceanis 423,43.0,USA,Connecticut,139995,2005
monohulled,Beneteau,Cyclades 43.3,43.0,Europe,France,108108,2005
monohulled,Beneteau,Cyclades 43.3,43.0,Europe,France,106519,2005
monohulled,Beneteau,Cyclades 43.3,43.0,Europe,France,95961,2005
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Greece,103921,2005
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Italy,91090,2005
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Malta,127526,2005
monohulled,Beneteau,Oceanis 423,43.0,USA,Maryland,147900,2005
monohulled,Beneteau,Oceanis 43,43.0,USA,Maryland,144900,2005
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Netherlands,108108,2005
monohulled,Beneteau,Cyclades 43.3,43.0,Europe,Portugal,101792,2005
monohulled,Beneteau,First 44.7,44.0,USA,California,180000,2005
monohulled,Beneteau,First 44.7,44.0,USA,California,149000,2005
monohulled,Beneteau,First 44.7,44.0,Europe,Greece,131187,2005
monohulled,Beneteau,First 44.7,44.0,Europe,Italy,119040,2005
monohulled,Beneteau,First 44.7,44.0,USA,Texas,129900,2005
monohulled,Beneteau,Oceanis Clipper 473,47.0,Europe,Croatia,144549,2005
monohulled,Beneteau,Oceanis 473,47.0,Europe,Croatia,102034,2005
monohulled,Beneteau,First 47.7,47.0,Europe,Italy,127543,2005
monohulled,Beneteau,Oceanis Clipper 473,47.0,Europe,Malta,133611,2005
monohulled,Beneteau,Oceanis 473,47.0,USA,Maryland,195000,2005
monohulled,Beneteau,Oceanis 473,47.0,USA,North Carolina,185000,2005
monohulled,Beneteau,Oceanis 523,53.0,Europe,Italy,224719,2005
monohulled,Beneteau,Oceanis Clipper 523,53.0,Europe,Spain,224719,2005
monohulled,Beneteau,Oceanis Clipper 523,53.0,Europe,Spain,223504,2005
monohulled,Beneteau,Oceanis 523,53.0,Europe,Spain,212572,2005
monohulled,Beneteau,56,56.0,Europe,Spain,461603,2005
monohulled,Beneteau,Cyclades 50.5,51.0,Caribbean,Grenada,105000,2005
monohulled,C&C,121,40.0,USA,Rhode Island,184900,2005
monohulled,Cabo Rico,42,46.0,USA,Rhode Island,270000,2005
monohulled,Caliber,40 LRC SE,41.0,USA,Florida,259000,2005
monohulled,Catalina,387,38.0,USA,Maryland,125000,2005
monohulled,Catalina,42 MK II,42.0,Caribbean,Mexico,165000,2005
monohulled,Catalina,42 Mk II,42.0,Europe,United Kingdom,119242,2005
monohulled,Catalina,42 MK II,42.0,USA,Washington,159500,2005
monohulled,Catalina,Morgan 440,46.0,USA,California,199900,2005
monohulled,Catalina,Morgan 440,46.0,Caribbean,Grenada,179950,2005
monohulled,Catalina,Morgan 440,46.0,USA,Washington,194950,2005
monohulled,Comar,Comet 41S,41.0,Europe,Italy,150622,2005
monohulled,Comar,Comet 45s,46.0,Europe,Italy,163984,2005
monohulled,Comar,Comet 51S,51.0,Europe,Italy,200425,2005
monohulled,Comar,Comet 52 RS,52.0,Europe,Italy,255086,2005
monohulled,Dehler,41 CR,41.0,Europe,Italy,176176,2005
monohulled,Delphia,40,39.0,Europe,Italy,85017,2005
monohulled,Dufour,385,38.0,Europe,Croatia,87458,2005
monohulled,Dufour,385 GL,38.0,Caribbean,Netherlands Antilles,86000,2005
monohulled,Dufour,385,38.0,Europe,Turkey,98591,2005
monohulled,Dufour,40,40.0,Europe,France,97054,2005
monohulled,Dufour,44,44.0,Europe,France,163984,2005
monohulled,Dufour,44,44.0,Europe,Italy,139690,2005
monohulled,Dufour,44 Performance,44.0,Europe,Italy,133617,2005
monohulled,Dufour,455,45.0,Europe,France,139726,2005
monohulled,Dufour,455 GL,45.0,Europe,Italy,127548,2005
monohulled,Elan,Impression 434,44.0,Europe,Croatia,127543,2005
monohulled,Elan,Impression 434,44.0,Europe,Croatia,91102,2005
monohulled,Grand Soleil,43,43.0,Europe,France,181597,2005
monohulled,Grand Soleil,45 RACING,45.0,Europe,France,224719,2005
monohulled,Grand Soleil,50,49.0,Caribbean,Grenada,230000,2005
monohulled,Grand Soleil,50,49.0,Europe,United Kingdom,252527,2005
monohulled,Hallberg-Rassy,40,40.0,Europe,United Kingdom,299771,2005
monohulled,Hallberg-Rassy,43,44.0,Europe,Greece,339508,2005
monohulled,Hanse,411,40.0,Europe,Greece,108108,2005
monohulled,Hanse,411,40.0,Europe,Italy,120239,2005
monohulled,Hanse,411,40.0,Europe,Italy,103249,2005
monohulled,Hanse,411,40.0,Europe,Italy,83814,2005
monohulled,Hanse,411,40.0,Europe,United Kingdom,93256,2005
monohulled,Hanse,461,46.0,Europe,France,303674,2005
monohulled,Hanse,461,46.0,Europe,Germany,132436,2005
monohulled,Hanse,461,46.0,Europe,Spain,179942,2005
monohulled,Hanse,461,46.0,Europe,Spain,170057,2005
monohulled,Hanse,531,53.0,Europe,Estonia,236875,2005
monohulled,Hanse,531,53.0,Europe,Ireland,200433,2005
monohulled,Hanse,531,53.0,Europe,Spain,334055,2005
monohulled,Hanse,531,53.0,Europe,Spain,333920,2005
monohulled,Harmony,42 Elegance,42.0,Europe,France,83270,2005
monohulled,Hunter,38,38.0,USA,Florida,119000,2005
monohulled,Hunter,38,38.0,USA,Maryland,69000,2005
monohulled,Hunter,38,38.0,USA,New York,109335,2005
monohulled,Hunter,41 DS,40.0,USA,California,132000,2005
monohulled,Hunter,41 DS,40.0,Europe,France,96555,2005
monohulled,Hunter,41 Deck Salon,40.0,Europe,France,94746,2005
monohulled,Hunter,41 Aft Cockpit,40.0,USA,Maryland,124900,2005
monohulled,Hunter,41 DS,40.0,USA,Michigan,124900,2005
monohulled,Hunter,44 DS,44.0,USA,California,159000,2005
monohulled,Hunter,44,44.0,USA,Maine,165900,2005
monohulled,Hunter,44,44.0,USA,New York,149000,2005
monohulled,Hunter,44 DS,44.0,USA,Virginia,148106,2005
monohulled,Hunter,Passage 456,46.0,USA,North Carolina,142500,2005
monohulled,Hunter,466,46.0,Europe,Spain,169000,2005
monohulled,Hylas,49,49.0,Europe,Spain,464979,2005
monohulled,Island Packet,370,38.0,USA,Florida,169900,2005
monohulled,Island Packet,420,44.0,USA,Florida,299950,2005
monohulled,Island Packet,420,44.0,Europe,United Kingdom,286566,2005
monohulled,J Boats,J 122,40.0,USA,California,195000,2005
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,Europe,Greece,94746,2005
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,USA,Illinois,118900,2005
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,USA,Illinois,114900,2005
monohulled,Jeanneau,Sun Odyssey 40,40.0,Europe,Italy,103235,2005
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,USA,Michigan,126500,2005
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,USA,New York,124900,2005
monohulled,Jeanneau,SUN ODYSSEY 40.3,40.0,Europe,Spain,121470,2005
monohulled,Jeanneau,Sun Odyssey 43 DS,42.0,USA,New York,165000,2005
monohulled,Jeanneau,Sun Odyssey 43 DS,42.0,USA,Rhode Island,149900,2005
monohulled,Jeanneau,Sun Odyssey 45,45.0,Europe,Croatia,187063,2005
monohulled,Jeanneau,Sun Odyssey 45,45.0,Europe,Croatia,102034,2005
monohulled,Jeanneau,Sun Odyssey 45,45.0,Europe,Croatia,95961,2005
monohulled,Jeanneau,Sun Odyssey 45,45.0,Europe,Croatia,93532,2005
monohulled,Jeanneau,Sun Odyssey 45,45.0,Europe,France,132402,2005
monohulled,Jeanneau,Sun Odyssey 49 DS,49.0,USA,California,335000,2005
monohulled,Jeanneau,Sun Odyssey 49 DS,49.0,Europe,Croatia,216225,2005
monohulled,Jeanneau,Sun Odyssey 49 DS,49.0,Europe,France,236875,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,France,162776,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Greece,194359,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Greece,151837,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Greece,139690,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Italy,163984,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Spain,222298,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Spain,168843,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Europe,Turkey,166420,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,USA,Washington,255000,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Greece,251808,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Italy,242939,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Italy,236866,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Portugal,267233,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Spain,358335,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Spain,358287,2005
monohulled,Jeanneau,Sun Odyssey 54 DS,55.0,Europe,Spain,301204,2005
monohulled,Jeanneau,Sun Odyssey 49,49.0,Caribbean,Martinique,157968,2005
monohulled,Malo,43 Classic,44.0,Europe,Netherlands,351047,2005
monohulled,Malo,46,46.0,Europe,United Kingdom,393128,2005
monohulled,Moody,49,48.0,Europe,Spain,406940,2005
monohulled,Morris,Ocean Series 48,48.0,USA,California,479000,2005
monohulled,Najad,380,38.0,Europe,United Kingdom,233156,2005
monohulled,Nauticat,385,38.0,Europe,Spain,306497,2005
monohulled,Nauticat,44,43.0,Europe,Denmark,321907,2005
monohulled,Poncin,HARMONY 47,47.0,Europe,Greece,78955,2005
monohulled,Salona,40,39.0,Europe,Greece,120285,2005
monohulled,Salona,45,44.0,Europe,Croatia,109323,2005
monohulled,Salona,45,44.0,Europe,Croatia,98390,2005
monohulled,Salona,45,44.0,Europe,Cyprus,127543,2005
monohulled,Salona,45,44.0,Europe,Italy,91858,2005
monohulled,ShearWater,39,39.0,Caribbean,Grenada,245000,2005
monohulled,Sunbeam,39,39.0,Europe,United Kingdom,186497,2005
monohulled,Sunbeam,53,53.0,Europe,Spain,399651,2005
monohulled,Sweden Yachts,42,43.0,Europe,United Kingdom,166473,2005
monohulled,Tartan,4400,45.0,Europe,Netherlands,302459,2005
monohulled,Tartan,4400,45.0,USA,Rhode Island,345000,2005
monohulled,Van De Stadt,Beluga 46,46.0,Europe,Netherlands,297560,2005
monohulled,Wauquiez,Centurion 40s,40.0,Europe,France,151876,2005
monohulled,Wauquiez,Centurion 40s,40.0,Europe,France,151837,2005
monohulled,Wauquiez,Centurion 40s,40.0,Caribbean,Panama,145817,2005
monohulled,Wauquiez,Centurion 40s,40.0,Caribbean,Panama,139696,2005
monohulled,Wauquiez,Centurion 40s,40.0,Caribbean,Panama,146196,2005
monohulled,Wauquiez,Centurion 40s,40.0,Europe,Spain,132436,2005
monohulled,Wauquiez,Pilot Saloon 40,41.0,Europe,Turkey,168843,2005
monohulled,X-Yachts,40,40.0,Europe,Netherlands,200476,2005
monohulled,X-Yachts,X-50,50.0,Europe,Italy,334042,2005
monohulled,Alliage,44,44.0,Europe,France,358287,2006
monohulled,Amel,54,56.0,Caribbean,Antigua and Barbuda,495000,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Croatia,102668,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Croatia,78955,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,France,95961,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,France,95961,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Germany,109201,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Greece,78955,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Greece,72760,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Slovenia,59520,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Spain,91102,2006
monohulled,Bavaria,39 Cruiser,39.0,Europe,Turkey,94770,2006
monohulled,Bavaria,42 Match,41.0,Europe,Croatia,57091,2006
monohulled,Bavaria,42 Match,41.0,Europe,Croatia,57091,2006
monohulled,Bavaria,42 Cruiser,42.0,USA,California,109000,2006
monohulled,Bavaria,42 Cruiser,42.0,Europe,Croatia,109065,2006
monohulled,Bavaria,42 Cruiser,42.0,Europe,Italy,102034,2006
monohulled,Bavaria,42 Cruiser,42.0,Europe,Netherlands,120862,2006
monohulled,Bavaria,42 Cruiser,42.0,Europe,Portugal,145764,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Croatia,94770,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Croatia,89910,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,129000,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,127548,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,109350,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,108112,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,103188,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,102034,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,100820,2006
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,99881,2006
monohulled,Bavaria,Cruiser 50,49.0,Caribbean,Bahamas,184900,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Croatia,173094,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Croatia,127543,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Greece,121470,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Greece,117826,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Greece,97176,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Italy,121470,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Italy,115396,2006
monohulled,Bavaria,50 Cruiser,49.0,Europe,Spain,139690,2006
monohulled,Beneteau,Cyclades 39.3,39.0,USA,California,149000,2006
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Croatia,74115,2006
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Croatia,72639,2006
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Greece,71667,2006
monohulled,Beneteau,First 40.7,39.0,USA,Hawaii,160000,2006
monohulled,Beneteau,Cyclades 39.3,39.0,USA,New York,90838,2006
monohulled,Beneteau,Cyclades 39.3,39.0,USA,North Carolina,99000,2006
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Portugal,99630,2006
monohulled,Beneteau,Cyclades 39.3,39.0,Europe,Turkey,91102,2006
monohulled,Beneteau,423,43.0,USA,Alabama,176000,2006
monohulled,Beneteau,Cyclades 43.4,43.0,Europe,Croatia,97176,2006
monohulled,Beneteau,Cyclades 43.4,43.0,Europe,Croatia,95961,2006
monohulled,Beneteau,Cyclades 43.4,43.0,Europe,Croatia,88673,2006
monohulled,Beneteau,Cyclades 43.4,43.0,Europe,Croatia,87458,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,Georgia,145900,2006
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Greece,85017,2006
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Malta,145764,2006
monohulled,Beneteau,Cyclades 43.3,43.0,Europe,Malta,95961,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,New York,155969,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,New York,144900,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,New York,139900,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,Rhode Island,142000,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,South Carolina,155000,2006
monohulled,Beneteau,Oceanis Clipper 423,43.0,Europe,Spain,95961,2006
monohulled,Beneteau,423,43.0,Caribbean,Trinidad and Tobago,85000,2006
monohulled,Beneteau,Oceanis 423,43.0,USA,Virginia,159900,2006
monohulled,Beneteau,First 44.7,44.0,USA,Georgia,149000,2006
monohulled,Beneteau,First 44.7,44.0,Europe,Greece,131187,2006
monohulled,Beneteau,First 44.7,44.0,Europe,Italy,151837,2006
monohulled,Beneteau,First 44.7,44.0,USA,New York,155000,2006
monohulled,Beneteau,Oceanis 473,47.0,USA,California,229000,2006
monohulled,Beneteau,Oceanis 473,47.0,Europe,Croatia,151837,2006
monohulled,Beneteau,Oceanis 473,47.0,USA,Oregon,299000,2006
monohulled,Beneteau,Oceanis 473,47.0,Europe,Spain,151876,2006
monohulled,Beneteau,Oceanis 473,47.0,Europe,Spain,151876,2006
monohulled,Beneteau,Oceanis 473,47.0,Europe,Spain,151876,2006
monohulled,Beneteau,Oceanis Clipper 473,47.0,Europe,Spain,144586,2006
monohulled,Beneteau,Oceanis Clipper 473,47.0,Europe,Spain,144586,2006
monohulled,Beneteau,First 50,49.0,Europe,France,241734,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Greece,194359,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Greece,194351,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Greece,188278,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Greece,185858,2006
monohulled,Beneteau,Oceanis 50,49.0,Caribbean,Grenada,189000,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Italy,205284,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Malta,206498,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Portugal,224719,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,Romania,157668,2006
monohulled,Beneteau,Oceanis 50,49.0,Europe,United Kingdom,199781,2006
monohulled,Beneteau,Cyclades 50.5,51.0,Europe,Croatia,103249,2006
monohulled,Beneteau,Cyclades 50.5,51.0,Europe,France,144549,2006
monohulled,Beneteau,Oceanis 51,51.0,Caribbean,Grenada,139000,2006
monohulled,Beneteau,Cyclades 50.5,51.0,USA,Washington,199900,2006
monohulled,Beneteau,523,53.0,USA,California,337000,2006
monohulled,Beneteau,Oceanis Clipper 523,53.0,Europe,Croatia,176131,2006
monohulled,Beneteau,Oceanis Clipper 523,53.0,Europe,Greece,230792,2006
monohulled,Beneteau,Oceanis 523 A,53.0,Europe,Romania,194108,2006
monohulled,Beneteau,Oceanis 523,53.0,Europe,Spain,361980,2006
monohulled,Beneteau,Oceanis 523,53.0,Europe,Spain,252657,2006
monohulled,C&C,115,38.0,USA,California,129900,2006
monohulled,C&C,115,38.0,USA,California,144900,2006
monohulled,C&C,115,38.0,USA,Maryland,129000,2006
monohulled,Cabo Rico,42,46.0,USA,Rhode Island,349000,2006
monohulled,Catalina,387,38.0,USA,Maryland,135900,2006
monohulled,Catalina,387,38.0,USA,North Carolina,159900,2006
monohulled,Catalina,400 MK II,40.0,USA,Florida,145000,2006
monohulled,Catalina,42 MK II,42.0,USA,Massachusetts,159900,2006
monohulled,Catalina,Morgan 440,46.0,USA,Florida,219000,2006
monohulled,Catalina,Morgan 440 DS Sloop,46.0,Caribbean,Mexico,200000,2006
monohulled,Comar,Comet 41S,41.0,Europe,Italy,139690,2006
monohulled,Comar,Comet 41S,41.0,Europe,Italy,120255,2006
monohulled,Delphia,40,39.0,Europe,Italy,78945,2006
monohulled,Delphia,40,39.0,Europe,Sweden,159277,2006
monohulled,Dufour,385 GL,38.0,Europe,France,103249,2006
monohulled,Dufour,40 Performance,40.0,Europe,Spain,108108,2006
monohulled,Dufour,44 Performance,44.0,Europe,Italy,132402,2006
monohulled,Dufour,455,45.0,Europe,Greece,145764,2006
monohulled,Dufour,455 GL,45.0,Europe,Greece,132402,2006
monohulled,Dufour,455,45.0,Europe,Malta,163984,2006
monohulled,Dufour,455 GL,45.0,Europe,Spain,168886,2006
monohulled,Elan,Impression 384,38.0,Europe,Croatia,100212,2006
monohulled,Elan,Impression 384,38.0,Europe,Croatia,93076,2006
monohulled,Elan,Impression 384,38.0,Europe,Croatia,72882,2006
monohulled,Elan,Impression 384,38.0,Europe,Croatia,59520,2006
monohulled,Elan,434 Impression,44.0,Europe,Croatia,109080,2006
monohulled,Elan,Impression 434,44.0,Europe,Malta,168843,2006
monohulled,Elan,Impression 434,44.0,Europe,Spain,129973,2006
monohulled,Elan,Impression 434,44.0,Europe,Spain,106893,2006
monohulled,Elan,Impression 434,44.0,Europe,Sweden,201697,2006
monohulled,Grand Soleil,40,41.0,Europe,Italy,145744,2006
monohulled,Grand Soleil,40,41.0,Europe,Italy,111752,2006
monohulled,Grand Soleil,43,43.0,Europe,Greece,157911,2006
monohulled,Grand Soleil,45,45.0,Europe,Italy,200425,2006
monohulled,Grand Soleil,45,45.0,Europe,Italy,193137,2006
monohulled,Grand Soleil,45,45.0,Europe,Italy,176176,2006
monohulled,Grand Soleil,45,45.0,Europe,Turkey,156742,2006
monohulled,Grand Soleil,45,45.0,Europe,Turkey,144549,2006
monohulled,Grand Soleil,50,49.0,Caribbean,Antigua and Barbuda,273182,2006
monohulled,Grand Soleil,50,49.0,Europe,Italy,206498,2006
monohulled,Hanse,400,40.0,Europe,France,108135,2006
monohulled,Hanse,400,40.0,Europe,Greece,93249,2006
monohulled,Hanse,400e,40.0,Europe,Italy,91102,2006
monohulled,Hanse,400e,40.0,Europe,Netherlands,139690,2006
monohulled,Hanse,400,40.0,Europe,Netherlands,115275,2006
monohulled,Hanse,411,40.0,Europe,Spain,100820,2006
monohulled,Hanse,461,46.0,Europe,France,200425,2006
monohulled,Hanse,461,46.0,Europe,Italy,194351,2006
monohulled,Hanse,461,46.0,Europe,Italy,162769,2006
monohulled,Hanse,461,46.0,Europe,Italy,143371,2006
monohulled,Hanse,461,46.0,Europe,Italy,143371,2006
monohulled,Hanse,470e,47.0,Europe,Denmark,199990,2006
monohulled,Hanse,540e,52.0,Europe,Spain,267233,2006
monohulled,Hanse,531,53.0,Europe,Ireland,179782,2006
monohulled,Hanse,531,53.0,Europe,Ireland,179775,2006
monohulled,Harmony,38,38.0,Europe,United Kingdom,66549,2006
monohulled,Harmony,47,47.0,Europe,Greece,82588,2006
monohulled,Hunter,380,37.0,USA,Florida,109000,2006
monohulled,Hunter,38,38.0,USA,Connecticut,95000,2006
monohulled,Hunter,38,38.0,Europe,Cork,95961,2006
monohulled,Hunter,38,38.0,USA,New Jersey,89900,2006
monohulled,Hunter,38,38.0,USA,New York,117300,2006
monohulled,Hunter,38,38.0,USA,New York,108551,2006
monohulled,Hunter,38,38.0,USA,New York,94500,2006
monohulled,Hunter,38,38.0,USA,North Carolina,119000,2006
monohulled,Hunter,38,38.0,USA,Texas,105000,2006
monohulled,Hunter,38,38.0,USA,Wisconsin,109400,2006
monohulled,Hunter,41,40.0,USA,California,120000,2006
monohulled,Hunter,41 DS,40.0,Europe,Greece,95948,2006
monohulled,Hunter,41 Deck Salon,40.0,Europe,Greece,94733,2006
monohulled,Hunter,41 DS,40.0,USA,New York,139000,2006
monohulled,Hunter,41 DS,40.0,USA,North Carolina,149500,2006
monohulled,Hunter,41 DS,40.0,USA,Ohio,149000,2006
monohulled,Hunter,41 DS,40.0,USA,Washington,174500,2006
monohulled,Hunter,44,44.0,USA,Florida,163000,2006
monohulled,Hunter,44 Deck Salon,44.0,Caribbean,Mexico,159000,2006
monohulled,Hunter,44 DS,44.0,USA,Rhode Island,169900,2006
monohulled,Hunter,45 Center Cockpit,45.0,USA,California,205000,2006
monohulled,Hunter,45 Center Cockpit,45.0,USA,Maryland,167500,2006
monohulled,Hunter,45cc,45.0,USA,Wisconsin,179900,2006
monohulled,Island Packet,440,45.0,USA,Florida,350000,2006
monohulled,Island Packet,445,45.0,Europe,Gibraltar,279854,2006
monohulled,Island Packet,445,45.0,Europe,Gibraltar,279845,2006
monohulled,Island Packet,440,45.0,Europe,Netherlands,376505,2006
monohulled,Island Packet,440,45.0,Europe,Netherlands,340008,2006
monohulled,Island Packet,485,52.0,Europe,Netherlands,533252,2006
monohulled,J Boats,J 122,40.0,USA,California,189000,2006
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,Europe,Croatia,119648,2006
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,Europe,Croatia,72760,2006
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,USA,Illinois,129500,2006
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,Europe,Italy,115396,2006
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,Europe,Italy,103249,2006
monohulled,Jeanneau,Sun Odyssey 40.3,40.0,USA,Rhode Island,129900,2006
