Make,Variant,Length,GeoRegion,CRS,Price,Year
Nautitech,442 Owners Version,44.0,Europe,Croatia,437231,2010
Antares,44i,44.0,USA,Florida,525000,2010
Antares,44i,44.0,USA,Florida,495000,2010
Lagoon,440,44.6,Caribbean,Guadeloupe,380000,2010
Lagoon,440,44.6,Caribbean,Saint-Martin,345000,2010
Lagoon,440,44.6,Caribbean,Sint Maarten (Dutch part),345000,2010
Lagoon,440,44.6,Europe,Spain,424812,2010
Lagoon,440,45.8,Europe,France,479431,2010
Leopard,46,46.0,Caribbean,Saint-Martin,415000,2010
Leopard,46,46.0,Caribbean,Grenada,335000,2010
Catana,47,47.0,Caribbean,Martinique,546813,2010
Catana,47,47.0,Caribbean,Martinique,545648,2010
Chris White,Atlantic 48,48.7,USA,Washington,565000,2010
Outremer,49,49.0,Europe,France,763449,2010
Voyage Yachts,500 Owner's Version,50.0,USA,Florida,595000,2010
Lagoon,500,51.0,Europe,Croatia,721467,2010
Lagoon,500,51.0,Europe,Turkey,589128,2010
Lagoon,500,51.0,Europe,Turkey,588087,2010
Lagoon,500,51.0,Europe,Croatia,576531,2010
Lagoon,500,51.0,Europe,Croatia,575961,2010
Leopard,39,37.5,USA,Florida,339000,2011
Leopard,39,37.5,USA,Florida,339000,2011
Lagoon,380,38.0,Europe,Greece,236447,2011
Broadblue,385,38.7,Caribbean,Grenada,210000,2011
Fountaine Pajot,Lipari 41,39.0,Caribbean,Martinique,218725,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Italy,346563,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Malta,302787,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Turkey,267522,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Turkey,266761,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Turkey,266761,2011
Lagoon,400,39.0,Europe,Croatia,264804,2011
Lagoon,400,39.0,Europe,Croatia,264597,2011
Lagoon,400,39.0,Europe,Croatia,217486,2011
Lagoon,400,39.0,Europe,Croatia,217261,2011
Lagoon,400,39.0,Europe,Croatia,206095,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Croatia,194562,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Croatia,169026,2011
Lagoon,421,42.0,Europe,Portugal,333781,2011
Lagoon,421,42.0,Europe,Italy,297902,2011
Leopard,44,42.5,Caribbean,U.S. Virgin Islands,339000,2011
Leopard,44,42.5,Caribbean,Saint Kitts and Nevis,339000,2011
Leopard,44,42.5,Caribbean,U.S. Virgin Islands,339000,2011
Leopard,44,42.5,Caribbean,Saint Kitts and Nevis,339000,2011
Lagoon,42 Owners Version,42.5,Europe,Portugal,325000,2011
Lagoon,42 Owners Version,42.5,Europe,Portugal,325000,2011
Leopard,44,42.5,USA,Florida,459000,2011
Leopard,44,42.5,USA,Florida,459000,2011
Fountaine Pajot,Orana 44,43.0,Europe,Turkey,339850,2011
Nautitech,441,44.0,Caribbean,Martinique,279162,2011
Nautitech,441,44.0,Caribbean,Guadeloupe,255086,2011
Nautitech,441,44.0,Caribbean,Guadeloupe,254887,2011
Lagoon,450,45.8,Caribbean,U.S. Virgin Islands,475000,2011
Lagoon,450,45.8,Europe,France,533522,2011
Lagoon,450,45.8,Europe,Greece,516246,2011
Lagoon,450,45.8,Europe,Greece,515844,2011
Lagoon,450,45.8,Europe,France,510725,2011
Lagoon,450,45.8,Europe,France,510302,2011
Lagoon,450,45.8,Europe,France,510172,2011
Lagoon,450,45.8,Europe,Malta,479431,2011
Lagoon,450,45.8,Europe,Greece,472895,2011
Lagoon,450F,45.8,Europe,Turkey,462084,2011
Lagoon,450,45.8,Europe,Greece,448644,2011
Lagoon,450,45.8,Europe,Greece,407335,2011
Lagoon,450,45.8,Europe,Italy,389097,2011
Lagoon,450F,45.8,USA,Florida,499000,2011
Lagoon,450F,45.8,USA,Florida,499000,2011
Leopard,46,46.0,Caribbean,British Virgin Islands,126000,2011
Leopard,46,46.0,USA,Florida,480000,2011
Fountaine Pajot,Salina 48,47.0,Caribbean,Panama,450000,2011
Outremer,49,49.0,Caribbean,Grenada,601884,2011
Outremer,49,49.0,Europe,France,812664,2011
Outremer,49,49.0,Europe,France,811999,2011
Lagoon,500,51.0,Caribbean,U.S. Virgin Islands,499000,2011
Lagoon,500,51.0,Caribbean,U.S. Virgin Islands,443813,2011
Lagoon,380,38.0,USA,New York,292000,2012
Lagoon,39,38.4,Europe,Italy,310061,2012
Fountaine Pajot,Lipari 41,39.0,Caribbean,Guatemala,315000,2012
Lagoon,400,39.0,Caribbean,Martinique,241298,2012
Lagoon,400,39.0,Caribbean,Martinique,237000,2012
Lagoon,400,39.0,Caribbean,Martinique,234000,2012
Lagoon,400,39.0,Europe,Portugal,315575,2012
Lagoon,400,39.0,Europe,Greece,291300,2012
Lagoon,400,39.0,Europe,Greece,279162,2012
Lagoon,400,39.0,Europe,Croatia,241786,2012
Lagoon,400,39.0,Europe,Croatia,241536,2012
Lagoon,400,39.0,Europe,Croatia,241536,2012
Lagoon,400,39.0,Europe,Sweden,236681,2012
Alliaura,Feeling 39 DI,39.0,Europe,Netherlands,229578,2012
Lagoon,400,39.0,Europe,Croatia,218639,2012
Lagoon,421,41.0,Europe,Italy,369828,2012
Leopard,44,42.5,Caribbean,British Virgin Islands,350000,2012
Leopard,44,42.5,Caribbean,British Virgin Islands,350000,2012
Leopard,44,42.5,Caribbean,British Virgin Islands,315000,2012
Leopard,44,42.5,Europe,Greece,273094,2012
Fountaine Pajot,Helia 44,43.6,Europe,France,520699,2012
Fountaine Pajot,Helia 44,43.6,Europe,Greece,449893,2012
Fountaine Pajot,Helia 44,43.6,Europe,Greece,449438,2012
Antares,44i,44.0,USA,Florida,749000,2012
Lagoon,450,45.8,Caribbean,Martinique,442581,2012
Lagoon,450F,45.8,Caribbean,Martinique,435736,2012
Lagoon,450,45.8,Caribbean,Martinique,435020,2012
Lagoon,450,45.8,Caribbean,Martinique,434093,2012
Lagoon,450,45.8,Caribbean,Belize,400142,2012
Lagoon,450,45.8,Europe,Italy,486371,2012
Lagoon,450,45.8,Europe,Greece,486249,2012
Lagoon,450,45.8,Europe,Italy,474211,2012
Lagoon,450,45.8,Europe,Italy,473362,2012
Lagoon,450,45.8,Europe,France,472895,2012
Lagoon,450,45.8,Europe,Italy,449438,2012
Lagoon,450,45.8,Europe,Italy,449087,2012
Lagoon,450,45.8,Europe,Italy,448644,2012
Lagoon,450,45.8,Europe,France,411782,2012
Lagoon,450,45.8,Europe,France,411461,2012
Lagoon,450,45.8,Europe,Greece,400850,2012
Lagoon,450,45.8,Europe,Greece,400537,2012
Lagoon,450,45.8,Europe,Croatia,398420,2012
Lagoon,450,45.8,Europe,Croatia,398420,2012
Lagoon,450,45.8,Europe,Croatia,398110,2012
Lagoon,450,45.8,Europe,Croatia,397717,2012
Lagoon,450,45.8,Europe,Greece,388802,2012
Lagoon,450,45.8,Europe,Greece,388016,2012
Lagoon,450,45.8,Europe,Italy,376937,2012
Lagoon,450,45.8,Europe,Italy,376937,2012
Lagoon,450,45.8,Europe,Italy,376556,2012
Lagoon,450,45.8,Europe,Croatia,364778,2012
Lagoon,450,45.8,Europe,Croatia,364501,2012
Lagoon,450,45.8,Europe,Croatia,363587,2012
Lagoon,450,45.8,Europe,Croatia,362911,2012
Lagoon,450,45.8,Europe,Croatia,339267,2012
Lagoon,450,45.8,Europe,Croatia,338302,2012
Lagoon,450,45.8,USA,Florida,459950,2012
Fountaine Pajot,Salina 48,47.0,Caribbean,Panama,249000,2012
Fountaine Pajot,Salina 48,47.0,Europe,France,358056,2012
Lagoon,500,51.0,Caribbean,Antigua and Barbuda,499000,2012
Lagoon,500,51.0,Caribbean,Puerto Rico,499000,2012
Lagoon,500,51.0,Caribbean,Netherlands Antilles,465000,2012
Voyage Yachts,Voyage 520 DC,52.0,Caribbean,Barbados,675000,2012
Nautitech,542,53.5,Europe,Spain,790352,2012
Leopard,39,37.5,Europe,Turkey,364424,2013
Leopard,39,37.5,Europe,Turkey,364125,2013
Lagoon,39,38.4,Europe,Cyprus,303982,2013
Lagoon,39,38.4,Europe,Cyprus,303437,2013
Lagoon,39,38.4,Europe,Italy,297369,2013
Lagoon,400 S2,39.0,Caribbean,Martinique,285558,2013
Lagoon,400,39.0,Caribbean,Guadeloupe,278887,2013
Lagoon,400,39.0,Caribbean,British Virgin Islands,240000,2013
Lagoon,400,39.0,Europe,Italy,388400,2013
Lagoon,400,39.0,Europe,Italy,388400,2013
Fountaine Pajot,Lipari 41,39.0,Europe,Croatia,342763,2013
Lagoon,400 S2,39.0,Europe,Croatia,340115,2013
Lagoon,400,39.0,Europe,Croatia,339850,2013
Fountaine Pajot,Lipari 41,39.0,Europe,France,328323,2013
Lagoon,400,39.0,Europe,Greece,321895,2013
Lagoon,400,39.0,Europe,Greece,321644,2013
Lagoon,400 S2,39.0,Europe,Croatia,267197,2013
Lagoon,400,39.0,Europe,Croatia,267025,2013
Lagoon,400,39.0,Europe,Croatia,267025,2013
Fountaine Pajot,Lipari 41,39.0,Europe,Croatia,265811,2013
Lagoon,400,39.0,Europe,Croatia,242507,2013
Dolphin Ocema,Ocema 42,41.0,Europe,Portugal,273584,2013
Lagoon,421,42.0,Europe,Greece,423599,2013
Lagoon,421,42.0,Europe,Turkey,380579,2013
Dolphin Ocema,Ocema 42,42.0,Europe,Portugal,229900,2013
Leopard,44,42.5,Europe,Greece,302766,2013
Leopard,44,42.5,Europe,Greece,290606,2013
Fountaine Pajot,Helia 44,43.6,Caribbean,Martinique,362911,2013
Fountaine Pajot,Helia 44,43.6,Europe,Italy,534050,2013
Fountaine Pajot,Helia 44,43.6,Europe,Greece,479824,2013
Fountaine Pajot,Helia 44,43.6,Europe,Greece,443382,2013
Fountaine Pajot,Helia 44,43.6,Europe,Greece,443019,2013
Lagoon,450,44.6,Europe,Greece,424206,2013
Lagoon,450,45.8,Caribbean,Panama,540000,2013
Lagoon,450,45.8,Caribbean,British Virgin Islands,450000,2013
Lagoon,450F,45.8,Caribbean,British Virgin Islands,449000,2013
Lagoon,450F,45.8,Caribbean,Martinique,435306,2013
Lagoon,450,45.8,Caribbean,Bahamas,369000,2013
Lagoon,450,45.8,Caribbean,Martinique,358056,2013
Lagoon,450F,45.8,Caribbean,Martinique,347000,2013
Lagoon,450,45.8,Caribbean,Martinique,345000,2013
Lagoon,450,45.8,Caribbean,Martinique,345000,2013
Lagoon,450F,45.8,Europe,Croatia,618603,2013
Lagoon,450,45.8,Europe,Turkey,534050,2013
Lagoon,450,45.8,Europe,Greece,528393,2013
Lagoon,450,45.8,Europe,Greece,527981,2013
Lagoon,450,45.8,Europe,Turkey,521105,2013
Lagoon,450,45.8,Europe,Turkey,520184,2013
Lagoon,450,45.8,Europe,Spain,516246,2013
Lagoon,450,45.8,Europe,Spain,515844,2013
Lagoon,450 Owners Version,45.8,Europe,Greece,504610,2013
Lagoon,450F,45.8,Europe,France,462084,2013
Lagoon,450,45.8,Europe,Italy,461702,2013
Lagoon,450,45.8,Europe,Croatia,445907,2013
Lagoon,450,45.8,Europe,Croatia,445006,2013
Lagoon,450,45.8,Europe,Greece,424536,2013
Lagoon,450,45.8,Europe,Greece,419177,2013
Lagoon,450,45.8,Europe,Greece,418330,2013
Lagoon,450,45.8,Europe,France,400850,2013
Lagoon,450,45.8,Europe,Croatia,400850,2013
Lagoon,450,45.8,Europe,France,400537,2013
Lagoon,450,45.8,Europe,Croatia,400537,2013
Lagoon,450,45.8,Europe,Greece,383017,2013
Lagoon,450,45.8,Europe,Greece,382727,2013
Lagoon,450,45.8,Europe,Croatia,376556,2013
Lagoon,450,45.8,Europe,Croatia,376262,2013
Lagoon,450,45.8,USA,Florida,510000,2013
Fountaine Pajot,Salina 48,47.0,Europe,France,473732,2013
Fountaine Pajot,Salina 48,47.0,Europe,France,473362,2013
