Variant,Draft,Beam,Water,Fuel,Cabins,Displacement,Make,vscore,Length
Elan 394 Impression,5.91,12.83,74.09,43.59,3.0,20900.0,Elan,87941.45176632429,39.0
Hunter 39,5.0,12.92,75.0,36.0,3.0,18501.0,Hunter,150807.6584912198,39.0
Beneteau Cyclades 39.3,6.23,12.96,84.54,58.12,3.0,15423.5,Beneteau,111028.59612745947,39.0
Wauquiez Opium 39,7.05,13.71,79.0,29.0,2.75,12346.0,Wauquiez,234873.78900060756,39.0
Tofinou 12,7.92,10.5,70.28,58.959999999999994,2.5,15430.666666666666,Tofinou,210548.66077464828,39.0
RM Yachts RM 1200,5.91,13.91,61.56,88.91999999999999,2.25,18515.333333333332,RM Yachts,140658.35591192244,39.0
ShearWater 39,5.6066666666666665,12.83,52.84,118.88,2.0,21600.0,ShearWater,282366.5261104633,39.0
Jeanneau Sun Odyssey 40.9,5.303333333333334,12.915,55.857777777777784,111.78222222222222,2.5,19937.5,Jeanneau,123911.53093842788,40.0
Jeanneau Sun Odyssey 409,5.0,13.0,58.87555555555556,104.68444444444444,3.0,18275.0,Jeanneau,124020.2672858131,40.0
Malo 40 Classic MK Il,5.341666666666667,13.02,61.89333333333334,97.58666666666667,3.0,16612.5,Malo,467444.9705293762,40.0
Malo 40 classic,5.683333333333334,13.04,64.91111111111111,90.48888888888888,3.0,14950.0,Malo,362652.36033103615,40.0
Malo 40,6.025,13.06,67.92888888888889,83.39111111111112,3.0,13287.5,Malo,343517.42237645725,40.0
Jeanneau Sun Odyssey 41DS,6.366666666666666,13.08,70.94666666666667,76.29333333333334,3.0,11625.0,Jeanneau,202010.34136545283,40.0
Maxi 1200,6.708333333333333,12.940000000000001,73.96444444444444,69.19555555555556,3.0,9962.5,Maxi,202234.69884651928,40.0
Dehler 41,7.05,12.8,76.98222222222222,62.09777777777778,3.0,8300.0,Dehler,190388.1369945536,40.0
C&C 121,6.5,13.17,80.0,55.0,2.0,12647.0,C&C,242420.58413806735,40.0
Jeanneau SUN ODYSSEY 40.3,6.8425,13.23,71.7,43.35,2.5,16994.0,Jeanneau,159258.13063954053,40.0
Hanse 411,7.1850000000000005,13.29,63.4,31.7,3.0,21341.0,Hanse,132937.9355445317,40.0
Jeanneau Sun Odyssey 40,7.5275,12.92,89.8,42.25,3.0,18772.5,Jeanneau,135350.40023522652,40.0
Grand Soleil 39,7.87,12.14,116.2,52.8,3.0,16204.0,Grand Soleil,193751.7720574666,40.0
Hanse 400,6.5,13.25,79.25,36.98,3.0,18519.0,Hanse,126320.39043500752,40.0
Hanse 400 Epoxy,6.5,13.25,85.86,31.7,3.0,18519.0,Hanse,127730.75452857531,40.0
Hanse 400e,6.5,13.25,79.0,37.0,3.0,18739.0,Hanse,148597.81301652503,40.0
Zuanelli 40,7.87,12.8,158.5,39.5,3.0,19180.0,Zuanelli,282335.1539306473,40.0
Hanse 415,6.83,13.67,84.0,42.0,3.0,19621.0,Hanse,148908.2233797387,40.0
Elan 410,8.0,12.67,94.0,38.0,2.8,18298.0,Elan,110483.12049926004,40.0
Hunter 40,7.0,13.17,90.0,50.0,2.6,18849.0,Hunter,175578.42040504614,40.0
Hunter 41,5.0,13.25,100.0,36.0,2.4,19400.0,Hunter,155588.87758731644,40.0
Hunter 41 Aft Cockpit,6.5,13.25,100.12,35.93,2.2,19360.0,Hunter,163755.17013977616,40.0
Hunter 41 Deck Salon,5.5,13.33,140.0,51.0,2.0,19403.625,Hunter,123524.44904101436,40.0
Hunter 41 DS,5.5,13.33,140.0,51.0,2.0,19447.25,Hunter,160106.8442870018,40.0
Hunter M-H 40,7.0,13.17,90.0,50.0,2.0,19490.875,Hunter,167125.00448073016,40.0
J boats J 122,6.92,11.75,53.0,18.5,2.0,19534.5,J boats,146911.62200859864,40.0
J Boats J 122,6.92,11.75,53.0,18.5,2.0,19578.125,J Boats,245668.98462939667,40.0
Jeanneau Sun Odyessy 41DS,6.875,13.08,76.695,35.665,2.5,19621.75,Jeanneau,197383.03680124856,40.0
Dufour 412 GL,6.83,13.67,100.39,52.83,3.0,19665.375,Dufour,134449.825020741,40.0
Dufour 412,6.89,13.78,100.39,52.83,3.0,19709.0,Dufour,139127.67160496023,40.0
Dufour 410 GL,6.89,13.78,100.39,52.83,3.0,20790.0,Dufour,151592.55233177642,40.0
Dufour 410,6.89,13.78,100.39,52.83,3.0,20790.0,Dufour,135316.8641949327,40.0
Dufour 40e,6.8,12.7,100.4,52.8,3.0,17257.0,Dufour,157951.0,40.0
Dufour 405 GL,6.66,13.06,100.39,52.83,3.0,2183.0,Dufour,122599.67873963877,40.0
Dufour 405,6.66,13.06,100.39,52.83,3.0,2183.0,Dufour,92114.2301225945,40.0
Dufour 40 Performance,6.89,12.8,95.1,52.83,3.0,9689.5,Dufour,129477.55445908154,40.0
Dufour 40,5.25,12.8,87.18,42.27,3.0,17196.0,Dufour,127246.55150316923,40.0
Jeanneau Sun Odyssey 40.3,6.25,12.92,85.0,36.0,3.0,17835.0,Jeanneau,148112.5068964993,40.0
Dufour 40e Performance,6.89,12.76,100.4,52.8,2.6666666666666665,18767.5,Dufour,176810.78082278292,40.0
Catalina 400 MK II,6.75,13.5,98.0,85.18,2.3333333333333335,19700.0,Catalina,188003.22708467403,40.0
Hallberg-Rassy 40,6.53,12.53,121.52,117.56,2.0,18540.0,Hallberg-Rassy,393572.724783582,40.0
Beneteau First 40 CR,8.04,12.76,53.0,34.0,2.0,17380.0,Beneteau,181579.15162149043,40.0
Beneteau First 40,6.4,12.76,79.25,36.46,2.0,17795.0,Beneteau,144302.34262141673,40.0
Beneteau Oceanis 40,6.663333333333334,12.67,190.0,53.0,2.0,18210.0,Beneteau,124521.83830674448,40.0
Beneteau Oceanis 41,6.926666666666667,13.67,90.0,52.0,2.0,18497.5,Beneteau,155208.22568863482,40.0
Beneteau Oceanis 41 Owners Version,7.19,13.78,63.4,52.83,2.5,18785.0,Beneteau,213764.5406148874,40.0
Beneteau Oceanis 41.1,4.720000000000001,13.75,174.0,53.0,3.0,19072.5,Beneteau,132519.47584864034,40.0
Solaris 42,2.25,3.99,350.0,220.0,3.0,19360.0,Solaris,318672.4038926518,40.0
Tartan 4000,6.25,12.0,120.0,75.0,3.0,18854.0,Tartan,362972.8954625538,40.0
Beneteau 41.1,5.5,13.75,174.0,53.0,3.0,18513.0,Beneteau,100678.69089726756,40.0
Beneteau 40,7.74,16.27,202.0,105.0,3.0,18172.0,Beneteau,167402.7948771364,40.0
Triplast Y 40,6.56,13.45,100.39,71.33,3.0,17589.666666666668,Triplast,133439.41808394226,40.0
Wauquiez Centurion 40s,7.67,12.58,208.0,58.0,2.0,17007.333333333332,Wauquiez,199177.0484878989,40.0
X-Yachts 40,7.75,12.42,177.135,51.425,2.2,16425.0,X-Yachts,262842.1256120237,40.0
X-Yachts X-40,7.75,12.42,146.27,44.85,2.4,16425.0,X-Yachts,216599.04312980376,40.0
RM Yachts RM 12.70,8.125,13.135,115.405,38.275,2.6,16132.5,RM Yachts,253072.4672421693,40.0
Azuree 40,8.5,13.85,84.54,31.7,2.8,15840.0,Azuree,128954.46241220192,40.0
Bavaria 40 Cruiser,6.66,12.93,55.48,55.48,3.0,19093.8,Bavaria,109101.81486470354,40.0
Bavaria 40S Cruiser,7.55,12.96,54.95,54.95,3.0,17908.0,Bavaria,102581.85100822888,40.0
Bavaria 41 Cruiser,6.76,12.99,55.48,55.48,3.0,19096.0,Bavaria,132530.17851473895,40.0
RM Yachts 1260,8.2,14.44,106.0,34.0,3.0,17048.0,RM Yachts,276317.4628777901,41.0
Grand Soleil 40 B&C,7.84,12.5,95.0,48.0,3.0,15000.0,Grand Soleil,159902.30738842746,41.0
Grand Soleil 40,7.84,12.5,95.0,48.0,3.0,15000.0,Grand Soleil,139885.29288678808,41.0
Maxi 1300,7.38,12.47,84.54,47.55,3.0,17333.333333333332,Maxi,354900.11646519543,41.0
Caliber 40 LRC SE,5.48,12.8,195.0,210.0,2.0,19666.666666666668,Caliber,339572.370425957,41.0
Alubat Ovni 395,6.89,13.48,113.59,66.04,2.0,22000.0,Alubat,276469.7483622134,41.0
Salona S41,6.7,12.8,58.12,58.12,2.0,15840.0,Salona,181665.0598811011,41.0
Jeanneau 409,5.5,13.0,290.0,52.83,2.0,15557.0,Jeanneau,182259.69790730905,41.0
Island Packet SP Cruiser,3.67,12.75,130.0,215.0,2.0,15274.0,Island Packet,298072.8196872429,41.0
X-Yachts X-41 One Design,8.2,11.94,52.83,23.78,3.0,14991.0,X-Yachts,242016.10821779224,41.0
Dehler 41 CR,6.56,12.8,52.83,29.06,3.0,16204.0,Dehler,212923.15298101844,41.0
Jeanneau Sun Odyssey 410,7.0,13.08,81.89,53.0,2.0,17417.0,Jeanneau,154886.43561394437,41.0
Van De Stadt Norman 41,7.25,12.8,110.95,110.95,2.5,34540.0,Van De Stadt,112109.78498248049,41.0
Hanse 418,5.75,13.67,125.0,42.0,3.0,21605.0,Hanse,150470.05854625974,41.0
Jeanneau Sun Odyssey 419,6.83,13.08,174.0,53.0,3.0,17328.0,Jeanneau,145099.70758564144,41.0
Comar Comet 41S,7.22,12.86,118.88,36.98,2.0,19701.5,Comar,158556.88942188292,41.0
Wauquiez Pilot Saloon 40,5.42,13.25,208.0,116.0,2.0,22075.0,Wauquiez,221368.4082618913,41.0
Bavaria 42 Match,8.1,12.34,79.25,39.63,3.0,18040.0,Bavaria,81995.51399287902,41.0
X-Yachts 41,8.2,11.94,52.83,23.78,3.0,14991.0,X-Yachts,237077.0536111428,41.0
Hallberg-Rassy 412,6.53,13.48,54.155,39.629999999999995,3.0,17526.5,Hallberg-Rassy,452557.1080629672,41.0
Bavaria 42 Vision,6.79,13.29,55.48,55.48,3.0,20062.0,Bavaria,180812.15123589773,42.0
Harmony 42 Elegance,6.4,13.09,133.41,55.48,3.0,22597.5,Harmony,109174.48372729514,42.0
X-Yachts Xc 42,5.58,16.77,137.37,66.04,3.0,25133.0,X-Yachts,432496.045092665,42.0
Morris M42,5.75,11.25,50.0,40.0,1.0,24455.333333333332,Morris,525205.4786463843,42.0
Jeanneau Sun Odyssey  42 DS,5.93,12.175,86.55,74.815,1.25,23777.666666666668,Jeanneau,185815.15914481817,42.0
Sunbeam 42.1,6.11,13.1,123.1,109.63,1.5,23100.0,Sunbeam,314093.7481793478,42.0
Jeanneau 42 DS,7.17,13.5,93.78,34.34,1.75,22733.333333333332,Jeanneau,185815.15914481817,42.0
Wauquiez Pilot Saloon 42,7.05,13.91,109.63,109.63,2.0,22366.666666666668,Wauquiez,366656.74341983447,42.0
Wauquiez Pilot Saloon 41,5.91,13.25,58.12,58.12,2.3333333333333335,22000.0,Wauquiez,220198.54879049625,42.0
Southerly 420,8.11,13.3,117.0,63.0,2.6666666666666665,26000.0,Southerly,431077.8426573229,42.0
Bavaria 42 Cruiser,5.91,13.09,95.1,54.95,3.0,20240.0,Bavaria,136249.36709503282,42.0
Dufour 425 GL,6.07,13.58,116.0,42.0,3.0,18539.0,Dufour,157692.628996149,42.0
Southerly 42 RST,2.1,13.3,71.06,78.99,3.0,24948.0,Southerly,316391.28231778776,42.0
B-Yachts Brenta B42,7.87,10.17,26.42,26.42,3.0,12320.0,B-Yachts,351251.1968560913,42.0
Jeanneau Sun Odyssey 42i Performance,5.25,13.48,93.78,34.34,3.0,19003.6,Jeanneau,164694.81465288217,42.0
Morris M42X,5.634,13.596666666666668,108.52,35.89333333333334,3.0,21378.371428571427,Morris,627929.2287194582,42.0
Nauticat 42,6.018,13.713333333333333,123.26,37.446666666666665,3.0,23753.142857142855,Nauticat,466142.7305208458,42.0
Catalina 42 Mk II,6.402,13.83,138.0,39.0,3.0,26127.914285714287,Catalina,174085.0480256352,42.0
Catalina 42 MK II,6.786,13.83,138.0,39.0,3.0,28502.68571428571,Catalina,201276.29363610863,42.0
Jeanneau Sun Odyssey 440,7.17,14.0,140.0,53.0,3.0,30877.457142857143,Jeanneau,200867.17718395096,42.0
Jeanneau Sun Odyssey 43 DS,6.5,13.67,146.0,53.0,3.0,33252.22857142857,Jeanneau,223410.7498255725,42.0
Jeanneau Sun Odyssey 42i,6.65,13.35,92.0,46.0,4.0,35627.0,Jeanneau,135719.92216857962,42.0
Jeanneau Sun Odyssey 42 DS,7.17,13.5,93.78,34.34,3.6666666666666665,33491.0,Jeanneau,176514.33540136582,42.0
Jeanneau Sun Odyssey 42,6.5,13.42,120.0,50.0,3.3333333333333335,31355.0,Jeanneau,152986.04294711445,42.0
RM Yachts RM 1270,7.38,14.27,126.8,39.63,3.0,29219.0,RM Yachts,253106.67731938927,42.0
Rustler 42,6.17,13.33,123.4,49.815,2.5,27083.0,Rustler,423249.8028627783,42.0
Sabre 426,5.17,13.42,120.0,60.0,2.0,24947.0,Sabre,357436.7349965431,42.0
Dehler 42,7.08,12.83,77.0,42.0,2.0,22811.0,Dehler,201190.6339567243,42.0
Salona 42,7.48,12.53,96.5,42.0,3.0,20675.0,Salona,188842.5101501999,42.0
Dufour 425,6.07,13.58,116.0,42.0,3.0,18539.0,Dufour,159861.24632553308,42.0
Beneteau Moorings 42.3,5.5,13.7,150.0,53.0,3.0,19856.75,Beneteau,52974.104692370885,42.0
Sly 42,8.2,12.14,84.54,44.91,3.0,21174.5,Sly,226376.73923956076,42.0
Beneteau 43,5.42,13.5,95.0,53.0,2.0,22492.25,Beneteau,176119.0614064037,43.0
Hanse 430,6.17,13.58,201.5,53.0,3.0,23810.0,Hanse,159997.16579048726,43.0
Beneteau Oceanis 423,6.92,12.92,308.0,53.0,3.0,22232.5,Beneteau,187179.35137568729,43.0
Beneteau Oceanis Clipper 423,6.89,12.8,282.0,46.0,2.5,20655.0,Beneteau,141061.61251492618,43.0
Elan GT5,6.42,12.83,256.0,39.0,2.0,19077.5,Elan,213721.5959092711,43.0
Catalina 425,6.67,13.67,114.0,56.0,2.5,17500.0,Catalina,202417.66480063368,43.0
Beneteau Cyclades 43.3,6.25,14.5,140.0,52.0,3.0,19797.0,Beneteau,131600.27911494175,43.0
Beneteau Cyclades 43.4,6.8999999999999995,14.42,138.025,78.5,2.5,19760.833333333332,Beneteau,118932.94238150562,43.0
Beneteau Sense 43,7.55,14.04,136.05,105.0,2.0,19724.666666666668,Beneteau,166443.05152042132,43.0
X-Yachts X-43,8.2,13.105,123.025,252.5,2.0,19688.5,X-Yachts,270890.6084713571,43.0
Nauticat 44,5.83,12.17,110.0,400.0,2.0,19652.333333333332,Nauticat,422049.12373246544,43.0
Grand Soleil 43,7.55,12.96,107.965,230.51,2.4,19616.166666666668,Grand Soleil,231422.13084436677,43.0
Grand Soleil 43 BC,8.2,12.96,105.93,61.02,2.8,19580.0,Grand Soleil,193655.679262343,43.0
Grand Soleil 43 Maletto,7.87,13.12,95.1,58.12,3.2,20020.0,Grand Soleil,238070.16282751865,43.0
Grand Soleil 43 Maletto - GS 43,7.87,13.12,95.1,58.12,3.6,20020.0,Grand Soleil,266592.93863728066,43.0
Jeanneau Sun Odyssey 439,5.17,13.92,87.0,53.0,4.0,19906.5,Jeanneau,153831.36426924076,43.0
X-Yachts X4,6.195,12.96,85.77000000000001,55.56,3.5,19793.0,X-Yachts,339994.0534439767,43.0
Hanse 430e,7.22,13.71,84.54,58.12,3.0,19679.5,Hanse,159076.7467896442,43.0
Beneteau Oceanis 43,6.5,13.42,95.0,52.0,2.6666666666666665,19566.0,Beneteau,134822.50127668955,43.0
X-Yachts X 4.3,6.085,13.0,167.5,126.0,2.3333333333333335,21683.0,X-Yachts,244437.4097267796,43.0
Tartan 4300,5.67,13.5,240.0,200.0,2.0,23800.0,Tartan,361943.7128964365,43.0
Beneteau Oceanis 43.4,6.23,14.53,132.09,52.83,4.0,24260.0,Beneteau,145209.66493067535,43.0
Beneteau Oceanis 43 Family,6.56,13.52,95.1,52.83,4.0,24720.0,Beneteau,125605.5948435214,43.0
Dufour 430 GL,6.395,14.92,73.965,96.41999999999999,3.0,25180.0,Dufour,170863.78567846064,43.0
Beneteau Cyclades 43,6.23,14.53,52.83,140.01,3.0,25640.0,Beneteau,100099.39587990171,43.0
Beneteau 423,5.58,12.92,143.0,53.0,3.0,26100.0,Beneteau,153320.07613219286,43.0
Sweden Yachts 42,5.665,12.83,129.0,53.5,3.0,26560.0,Sweden Yachts,218261.1244089589,43.0
Dufour 430,5.75,14.17,115.0,54.0,4.0,27020.0,Dufour,166219.30119480187,43.0
Najad 440 CC,6.89,13.22,160.0,89.33333333333334,3.8,27480.0,Najad,535619.8973902564,44.0
Salona 45,8.37,13.78,205.0,124.66666666666667,3.6,27940.0,Salona,149643.89975362553,44.0
Island Packet 420,4.83,14.25,250.0,160.0,3.4,28400.0,Island Packet,384487.69963851466,44.0
Hunter 44 DS,5.0,14.5,140.0,66.0,3.2,23936.0,Hunter,207643.8654577875,44.0
X-Yachts Xp 44,7.55,13.35,92.46,52.83,3.0,25888.75,X-Yachts,415944.6303915844,44.0
Hallberg-Rassy 43,6.56,13.32,171.71,104.35,2.0,27841.5,Hallberg-Rassy,437853.0447117535,44.0
Solaris 44,6.3149999999999995,13.75,167.75,162.675,3.0,29794.25,Solaris,409999.7941865938,44.0
Nauticat 441,6.07,12.3,163.79,221.0,2.0,31747.0,Nauticat,535097.8862933959,44.0
Hunter 44 Deck Salon,5.0,14.5,140.0,66.0,2.2,23936.0,Hunter,206155.2628031943,44.0
Hunter 44,5.0,14.5,140.0,51.0,2.4,23936.0,Hunter,208067.9577301566,44.0
Rustler 44,6.57,14.173333333333334,141.32333333333332,65.7,2.6,20145.0,Rustler,497843.1083242025,44.0
Nauticat 441 Ketch,8.14,13.846666666666666,142.64666666666668,80.39999999999999,2.8,16354.0,Nauticat,510277.4099140405,44.0
Southerly 135,9.71,13.52,143.97,95.1,3.0,12563.0,Southerly,324351.9050161027,44.0
Salona 44,8.37,13.75,55.48,79.25,4.0,18406.5,Salona,202454.7659326088,44.0
Hanse 445,7.35,14.34,450.0,220.0,3.0,24250.0,Hanse,159634.28585978632,44.0
Hanse 455,7.25,14.33,119.0,58.0,3.0,25500.0,Hanse,180616.7722102217,44.0
Jeanneau Sun Odyssey 44 DS,5.33,13.83,86.0,56.0,3.0,25725.0,Jeanneau,215464.3157837736,44.0
Malo 43 Classic,6.93,13.02,93.195,57.06,3.0,25950.0,Malo,460254.2931309688,44.0
Solaris One 44,8.53,13.71,100.39,58.12,3.0,26175.0,Solaris,400850.0,44.0
Alliage 44,8.53,14.01,184.92,95.1,2.0,26400.0,Alliage,464545.6015343904,44.0
Dufour 450 GL,7.22,14.27,150.05,66.04,2.5,22605.0,Dufour,153121.8564462345,44.0
Elan Impression 434,6.8966666666666665,13.71,136.31,71.33,3.0,21365.0,Elan,160526.50796155637,44.0
Beneteau First 44.7,6.573333333333333,13.08,113.0,53.0,3.0,20125.0,Beneteau,187872.16976069385,44.0
Elan Impression 45,6.25,13.75,136.31,56.8,3.0,20327.5,Elan,155698.1383324029,44.0
Elan 450,6.736666666666666,14.34,136.31,64.065,3.0,20530.0,Elan,218643.89629632403,44.0
Elan 434 Impression,7.223333333333334,13.71,136.31,71.33,3.0,20732.5,Elan,117326.16286122394,44.0
Dehler Varianta 44,7.71,42.65,73.97,31.7,3.0,20935.0,Dehler,85388.89692880904,44.0
Elan 45 Impression,6.25,13.75,136.31,56.8,3.0,21137.5,Elan,122555.83476951292,44.0
Dehler 44 SQ,8.37,12.66,122.155,61.4,3.0,21340.0,Dehler,225709.3439638157,44.0
Dufour 44,7.58,14.01,108.0,66.0,3.0,20460.0,Dufour,199072.00775430904,44.0
Beneteau Moorings 43.5,6.23,14.53,148.0,53.0,3.0,21590.8,Beneteau,59785.06100996143,44.0
Dufour 445 GL,7.22,14.24,124.95,66.04,3.0,22721.6,Dufour,185891.3467619404,44.0
Bavaria 45 Cruiser,5.68,14.27,95.1,54.95,3.0,27720.0,Bavaria,150816.43601229403,44.0
Dufour 445,7.22,14.24,150.58,66.04,3.0,22277.2,Dufour,223071.07138765737,44.0
Catalina 445,6.92,13.58,179.0,66.0,3.0,22688.6,Catalina,237746.95924795416,44.0
Allures 44,9.84,13.94,145.03,145.03,3.0,23100.0,Allures,369928.4189335082,44.0
Dufour 44 Performance,8.53,13.94,63.4,23.78,3.0,22814.166666666668,Dufour,173426.4658947301,44.0
Dehler 44,7.71,42.65,73.97,31.7,3.0,22528.333333333332,Dehler,212353.741963034,44.0
Dufour 45e Performance,7.42,14.83,138.0,65.0,4.0,22242.5,Dufour,180066.23181489506,45.0
Contest 45CS,6.4,13.45,113.59,79.25,3.6,21956.666666666668,Contest,509677.6424227797,45.0
Elan 444 Impression,6.8100000000000005,13.0,87.175,61.685,3.2,21670.833333333332,Elan,119341.63615527043,45.0
Dehler 45,7.22,12.66,60.76,44.12,2.8,21385.0,Dehler,203964.4795193646,45.0
Contest 42CS,7.17,18.08,83.8,49.7,2.4,24251.0,Contest,486035.9293570014,45.0
Hunter 45 DS,7.295,14.5,140.0,66.0,2.0,23812.666666666668,Hunter,195244.33346344825,45.0
Beneteau Oceanis 45,7.42,14.75,98.0,53.0,2.0,23374.333333333332,Beneteau,183212.19965245004,45.0
Hunter 45 Center Cockpit,5.0,14.5,149.0,76.0,2.0,22936.0,Hunter,221895.34028087775,45.0
Boreal 44,8.14,14.4,167.75,167.75,2.3333333333333335,24748.8,Boreal,497370.9368637574,45.0
Moody 45 DS e,7.025,14.235,184.26,123.625,2.6666666666666665,26561.6,Moody,394776.0,45.0
Tartan 4400,5.91,14.07,200.77,79.5,3.0,28374.4,Tartan,405440.3472939362,45.0
Dufour 45 Performance,7.55,14.11,140.01,66.04,3.0,30187.2,Dufour,184220.3717126996,45.0
Island Packet 440,5.17,14.0,250.0,150.0,3.0,32000.0,Island Packet,436989.5773413548,45.0
Bavaria 44 Vision,6.89,14.4,110.95,55.48,3.0,29280.0,Bavaria,173177.16282767663,45.0
Island Packet 445,5.0,14.4,260.0,160.0,3.0,26560.0,Island Packet,362845.5799864309,45.0
Dufour 455 GL,7.22,14.11,243.78,159.5,3.0,23840.0,Dufour,169344.33223180042,45.0
Grand Soleil 45 RACING,7.55,13.91,227.56,159.0,3.0,21120.0,Grand Soleil,294626.8861380333,45.0
Moody 45 DS,6.5,14.92,211.34,158.5,3.0,21421.333333333332,Moody,414503.3659307751,45.0
Dufour 455,19.69,45.93,180.695,112.27000000000001,3.0,21722.666666666668,Dufour,185754.2914617205,45.0
