Variant,vscore
Nautitech 47,429000.21643314866
Lagoon 50 Owners Version,525039.9925383029
Lagoon 50,561074.7473621148
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 380 S2,239044.52419486712
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Lagoon 420,377034.9358608368
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Knysna 440,263150.2609076769
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Nautitech 47,429000.21643314866
Fountaine Pajot Salina 48,411908.1228806641
Privilege 495,473465.87062765734
Lagoon 420,377034.9358608368
Catana 50,768509.5671483107
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 570,800025.2230897676
Seawind 1160,361640.9906169871
Lagoon 380 S2,239044.52419486712
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Nautitech 40.2,228527.7999305783
Fountaine Pajot Lavezzi 40,223039.666035064
Leopard 40,278078.4179273844
Alliaura Feeling 39 DI,239567.5150953218
Fountaine Pajot Lavezzi 40,223039.666035064
Fountaine Pajot Lavezzi 40,223039.666035064
Fountaine Pajot Lavezzi 40,223039.666035064
Fountaine Pajot Lavezzi 40,223039.666035064
Nautitech 40,245191.4927803569
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Manta 42 MK IV,303427.52838049433
Manta 42 MK IV,303427.52838049433
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Nautitech 44,351181.4023192807
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Leopard 46,374429.37049490766
Leopard 46,374429.37049490766
Leopard 46,374429.37049490766
Privilege 495,473465.87062765734
Privilege 495,473465.87062765734
Privilege 495,473465.87062765734
Privilege 495,473465.87062765734
Leopard 47,237304.01660875525
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Nautitech 47,429000.21643314866
Fountaine Pajot Salina 48,411908.1228806641
Nautitech 47,429000.21643314866
Nautitech 47,429000.21643314866
Voyage Yachts 500,490353.86993835465
Voyage Yachts 500,490353.86993835465
Catana 50,768509.5671483107
Voyage Yachts 500,490353.86993835465
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Catana 50,768509.5671483107
Fountaine Pajot Lavezzi 40,223039.666035064
Nautitech 40.2,228527.7999305783
Nautitech 40.2,228527.7999305783
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Lagoon 420,377034.9358608368
Broadblue 415,408828.8616119865
Broadblue 415,408828.8616119865
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Fountaine Pajot Orana 44,361544.2905672092
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Leopard 46,374429.37049490766
Nautitech 47,429000.21643314866
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Leopard 38,184999.99999999997
Seawind 1160,361640.9906169871
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400 Owners Version,285000.0
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lavezzi 40,223039.666035064
Fountaine Pajot Lavezzi 40,223039.666035064
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Fountaine Pajot Orana 44,361544.2905672092
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Nautitech 442 Owners Version,437482.50000000006
Nautitech 442 Owners Version,437482.50000000006
Antares 44i,593845.4404658711
Antares 44i,593845.4404658711
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Leopard 46,374429.37049490766
Leopard 46,374429.37049490766
Catana 47,546230.5
Catana 47,546230.5
Chris White Atlantic 48,565000.0
Outremer 49,728510.2639008479
Voyage Yachts 500 Owner's Version,595000.0000000001
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Leopard 39,243242.12967465178
Leopard 39,243242.12967465178
Lagoon 380,216314.90561188976
Broadblue 385,237958.75937366328
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Lagoon 42 Owners Version,359659.05970917497
Lagoon 42 Owners Version,359659.05970917497
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Fountaine Pajot Orana 44,361544.2905672092
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Nautitech 441,287652.55257104296
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450F,419387.21138167364
Leopard 46,374429.37049490766
Leopard 46,374429.37049490766
Fountaine Pajot Salina 48,411908.1228806641
Outremer 49,728510.2639008479
Outremer 49,728510.2639008479
Outremer 49,728510.2639008479
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 380,216314.90561188976
Lagoon 39,266275.47603053367
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Alliaura Feeling 39 DI,239567.5150953218
Lagoon 400,276135.9073041746
Lagoon 421,330530.85717087914
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Antares 44i,593845.4404658711
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Lagoon 500,558741.7112153053
Voyage Yachts Voyage 520 DC,686297.752928423
Nautitech 542,857800.8027787082
Leopard 39,243242.12967465178
Leopard 39,243242.12967465178
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Dolphin Ocema Ocema 42,228352.5136708789
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Dolphin Ocema Ocema 42,228352.5136708789
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450 Owners Version,449563.937110174
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52F,725436.1212415542
Lagoon 52F,725436.1212415542
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52F,725436.1212415542
Lagoon 52,775617.9815944554
Nautitech 542,857800.8027787082
Leopard 39,243242.12967465178
Leopard 39,243242.12967465178
Leopard 39,243242.12967465178
Lagoon 380 Owners Version,268147.408897927
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Lagoon 380 S2,239044.52419486712
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Fountaine Pajot Lipari 41,255895.54259221806
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400 S2,283053.4720806253
Lagoon 400 S2,283053.4720806253
Lagoon 400 S2,283053.4720806253
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lipari 41,255895.54259221806
Nautitech 40 Open,312688.9774143646
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Fountaine Pajot Helia 44,423353.4250403182
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450 Owners Version,449563.937110174
Fountaine Pajot Salina 48 Evolution,499818.60381636303
Fountaine Pajot Salina 48,411908.1228806641
Fountaine Pajot Salina 48,411908.1228806641
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48 Crewed Version,367430.6660393065
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Fountaine Pajot SABA 50,596087.2223959196
Fountaine Pajot SABA 50,596087.2223959196
Lagoon 52F,725436.1212415542
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Nautitech 542,857800.8027787082
Privilege Series 5,897513.3041628164
Leopard 39,243242.12967465178
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Fountaine Pajot Lipari 41,255895.54259221806
Leopard Sunsail 404,79886.73627453482
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech Open 40,306448.884001169
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Bali 4.0,301838.4928890015
Bali 4.0,301838.4928890015
Seawind 1250,382615.42110435094
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Bali 4.3,375134.4593788925
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Bali 4.3,375134.4593788925
Bali 4.3,375134.4593788925
Bali 4.3,375134.4593788925
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44 Maestro,458275.728573456
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Bali 4.5,379022.8365511475
Bali 4.5,379022.8365511475
Bali 4.5,379022.8365511475
Bali 4.5,379022.8365511475
Outremer 45,625381.3794457092
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450S,434320.1152860059
Lagoon 450s,434117.97952403675
Lagoon 450S,434320.1152860059
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450S,434320.1152860059
Lagoon 450S,434320.1152860059
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450F,419387.21138167364
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450,418298.49800179794
Lagoon 450F,419387.21138167364
Lagoon 450,418298.49800179794
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Leopard 48,362589.5037614778
Fountaine Pajot SABA 50,596087.2223959196
Fountaine Pajot SABA 50,596087.2223959196
Fountaine Pajot SABA 50,596087.2223959196
Fountaine Pajot SABA 50 Maestro,821925.2684502685
Fountaine Pajot SABA 50,596087.2223959196
Fountaine Pajot SABA 50,596087.2223959196
Fountaine Pajot SABA 50,596087.2223959196
Voyage Yachts Voyage 480,518843.32927776803
Lagoon 52F,725436.1212415542
Lagoon 52F,725436.1212415542
Lagoon 52F,725436.1212415542
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52F,725436.1212415542
Lagoon 52F,725436.1212415542
Lagoon 52F,725436.1212415542
Lagoon 52F,725436.1212415542
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Lagoon 52,775617.9815944554
Privilege Series 5,897513.3041628164
Privilege Series 5,897513.3041628164
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Lagoon 39,266275.47603053367
Leopard 40,278078.4179273844
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Leopard 40,278078.4179273844
Leopard 40,278078.4179273844
Leopard 40,278078.4179273844
Leopard 40,278078.4179273844
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lucia 40,318107.9352434167
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400 S2,283053.4720806253
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Lagoon 400,276135.9073041746
Fountaine Pajot Lucia 40,318107.9352434167
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40 Open,312688.9774143646
Nautitech 40,245191.4927803569
Bali 4.0,301838.4928890015
Bali 4.0,301838.4928890015
Bali 4.0,301838.4928890015
Bali 4.0,301838.4928890015
Chris White MastFoil 40,241730.29766506387
Bali 4.1,310914.2595234278
Bali 4.1,310914.2595234278
Maine Cat 41,408414.05477599043
Bali 4.3,375134.4593788925
Lagoon 421,330530.85717087914
Lagoon 421,330530.85717087914
Lagoon 42,361953.41455677926
Lagoon 42,361953.41455677926
Leopard 44,333814.3017051069
Leopard 44,333814.3017051069
Lagoon 42,361953.41455677926
Lagoon 42,361953.41455677926
Lagoon 42,361953.41455677926
Lagoon 42,361953.41455677926
Lagoon 42,361953.41455677926
Bali 4.3,375134.4593788925
Bali 4.3,375134.4593788925
Bali 4.3,375134.4593788925
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44 Evolution,476905.19742734625
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Fountaine Pajot Helia 44,423353.4250403182
Bali 4.5,379022.8365511475
Nautitech 46 Fly,455877.7408311552
Lagoon 450,418298.49800179794
