Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year
Beneteau,First 44.7,44,USA,California,180000,2005
Beneteau,First 44.7,44,USA,California,149000,2005
Beneteau,First 44.7,44,Europe,Greece,131187,2005
Beneteau,First 44.7,44,Europe,Italy,119040,2005
Beneteau,First 44.7,44,USA,Texas,129900,2005
Beneteau,Oceanis Clipper 473,47,Europe,Croatia,144549,2005
Beneteau,Oceanis 473,47,Europe,Croatia,102034,2005
Beneteau,First 47.7,47,Europe,Italy,127543,2005
Beneteau,Oceanis Clipper 473,47,Europe,Malta,133611,2005
Beneteau,Oceanis 473,47,USA,Maryland,195000,2005
Beneteau,Oceanis 473,47,USA,North Carolina,185000,2005
Beneteau,Oceanis 523,53,Europe,Italy,224719,2005
Beneteau,Oceanis Clipper 523,53,Europe,Spain,224719,2005
Beneteau,Oceanis Clipper 523,53,Europe,Spain,223504,2005
Beneteau,Oceanis 523,53,Europe,Spain,212572,2005
Beneteau,56,56,Europe,Spain,461603,2005
Beneteau ,Cyclades 50.5,51,Caribbean,Grenada,105000,2005
C&C,121,40,USA,Rhode Island,184900,2005
Cabo Rico,42,46,USA,Rhode Island,270000,2005
Caliber,40 LRC SE,41,USA,Florida,259000,2005
Catalina,387,38,USA,Maryland,125000,2005
Catalina,42 MK II,42,Caribbean,Mexico,165000,2005
Catalina,42 Mk II,42,Europe,United Kingdom,119242,2005
Catalina,42 MK II,42,USA,Washington,159500,2005
Catalina,Morgan 440,46,USA,California,199900,2005
Catalina,Morgan 440,46,Caribbean,Grenada,179950,2005
Catalina,Morgan 440,46,USA,Washington,194950,2005
Comar,Comet 41S,41,Europe,Italy,150622,2005
Comar,Comet 45s,46,Europe,Italy,163984,2005
Comar,Comet 51S,51,Europe,Italy,200425,2005
Comar,Comet 52 RS,52,Europe,Italy,255086,2005
Dehler,41 CR,41,Europe,Italy,176176,2005
Delphia,40,39,Europe,Italy,85017,2005
Dufour,385,38,Europe,Croatia,87458,2005
Dufour,385 GL,38,Caribbean,Netherlands Antilles,86000,2005
Dufour,385,38,Europe,Turkey,98591,2005
Dufour,40,40,Europe,France,97054,2005
Dufour,44,44,Europe,France,163984,2005
Dufour,44,44,Europe,Italy,139690,2005
Dufour,44 Performance,44,Europe,Italy,133617,2005
Dufour,455,45,Europe,France,139726,2005
Dufour,455 GL,45,Europe,Italy,127548,2005
Elan,Impression 434,44,Europe,Croatia,127543,2005
Elan,Impression 434,44,Europe,Croatia,91102,2005
Grand Soleil,43,43,Europe,France,181597,2005
Grand Soleil,45 RACING,45,Europe,France,224719,2005
Grand Soleil,50,49,Caribbean,Grenada,230000,2005
Grand Soleil,50,49,Europe,United Kingdom,252527,2005
Hallberg-Rassy,40,40,Europe,United Kingdom,299771,2005
Hallberg-Rassy,43,44,Europe,Greece,339508,2005
Hanse,411,40,Europe,Greece,108108,2005
Hanse,411,40,Europe,Italy,120239,2005
Hanse,411,40,Europe,Italy,103249,2005
Hanse,411,40,Europe,Italy,83814,2005
Hanse,411,40,Europe,United Kingdom,93256,2005
Hanse,461,46,Europe,France,303674,2005
Hanse,461,46,Europe,Germany,132436,2005
Hanse,461,46,Europe,Spain,179942,2005
Hanse,461,46,Europe,Spain,170057,2005
Hanse,531,53,Europe,Estonia,236875,2005
Hanse,531,53,Europe,Ireland,200433,2005
Hanse,531,53,Europe,Spain,334055,2005
Hanse,531,53,Europe,Spain,333920,2005
Harmony,42 Elegance,42,Europe,France,83270,2005
Hunter,38,38,USA,Florida,119000,2005
Hunter,38,38,USA,Maryland,69000,2005
Hunter,38,38,USA,New York,109335,2005
Hunter,41 DS,40,USA,California,132000,2005
Hunter,41 DS,40,Europe,France,96555,2005
Hunter,41 Deck Salon,40,Europe,France,94746,2005
Hunter,41 Aft Cockpit,40,USA,Maryland,124900,2005
Hunter,41 DS,40,USA,Michigan,124900,2005
Hunter,44 DS,44,USA,California,159000,2005
Hunter,44,44,USA,Maine,165900,2005
Hunter,44,44,USA,New York,149000,2005
Hunter,44 DS,44,USA,Virginia,148106,2005
Hunter,Passage 456,46,USA,North Carolina,142500,2005
Hunter,466,46,Europe,Spain,169000,2005
Hylas,49,49,Europe,Spain,464979,2005
Island Packet,370,38,USA,Florida,169900,2005
Island Packet,420,44,USA,Florida,299950,2005
Island Packet,420,44,Europe,United Kingdom,286566,2005
J Boats,J 122,40,USA,California,195000,2005
Jeanneau,Sun Odyssey 40.3,40,Europe,Greece,94746,2005
Jeanneau,Sun Odyssey 40.3,40,USA,Illinois,118900,2005
Jeanneau,Sun Odyssey 40.3,40,USA,Illinois,114900,2005
Jeanneau,Sun Odyssey 40,40,Europe,Italy,103235,2005
Jeanneau,Sun Odyssey 40.3,40,USA,Michigan,126500,2005
Jeanneau,Sun Odyssey 40.3,40,USA,New York,124900,2005
Jeanneau,SUN ODYSSEY 40.3,40,Europe,Spain,121470,2005
Jeanneau,Sun Odyssey 43 DS,42,USA,New York,165000,2005
Jeanneau,Sun Odyssey 43 DS,42,USA,Rhode Island,149900,2005
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,187063,2005
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,102034,2005
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,95961,2005
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,93532,2005
Jeanneau,Sun Odyssey 45,45,Europe,France,132402,2005
Jeanneau,Sun Odyssey 49 DS,49,USA,California,335000,2005
Jeanneau,Sun Odyssey 49 DS,49,Europe,Croatia,216225,2005
Jeanneau,Sun Odyssey 49 DS,49,Europe,France,236875,2005
Jeanneau,Sun Odyssey 49,49,Europe,France,162776,2005
Jeanneau,Sun Odyssey 49,49,Europe,Greece,194359,2005
Jeanneau,Sun Odyssey 49,49,Europe,Greece,151837,2005
Jeanneau,Sun Odyssey 49,49,Europe,Greece,139690,2005
Jeanneau,Sun Odyssey 49,49,Europe,Italy,163984,2005
Jeanneau,Sun Odyssey 49,49,Europe,Spain,222298,2005
Jeanneau,Sun Odyssey 49,49,Europe,Spain,168843,2005
Jeanneau,Sun Odyssey 49,49,Europe,Turkey,166420,2005
Jeanneau,Sun Odyssey 49,49,USA,Washington,255000,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Greece,251808,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Italy,242939,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Italy,236866,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Portugal,267233,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Spain,358335,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Spain,358287,2005
Jeanneau,Sun Odyssey 54 DS,55,Europe,Spain,301204,2005
Jeanneau ,Sun Odyssey 49,49,Caribbean,Martinique,157968,2005
Malo,43 Classic,44,Europe,Netherlands,351047,2005
Malo,46,46,Europe,United Kingdom,393128,2005
Moody,49,48,Europe,Spain,406940,2005
Morris,Ocean Series 48,48,USA,California,479000,2005
Najad,380,38,Europe,United Kingdom,233156,2005
Nauticat,385,38,Europe,Spain,306497,2005
Nauticat,44,43,Europe,Denmark,321907,2005
Poncin,HARMONY 47,47,Europe,Greece,78955,2005
Salona,40,39,Europe,Greece,120285,2005
Salona,45,44,Europe,Croatia,109323,2005
Salona,45,44,Europe,Croatia,98390,2005
Salona,45,44,Europe,Cyprus,127543,2005
Salona,45,44,Europe,Italy,91858,2005
ShearWater,39,39,Caribbean,Grenada,245000,2005
Sunbeam,39,39,Europe,United Kingdom,186497,2005
Sunbeam,53,53,Europe,Spain,399651,2005
Sweden Yachts,42,43,Europe,United Kingdom,166473,2005
Tartan,4400,45,Europe,Netherlands,302459,2005
Tartan,4400,45,USA,Rhode Island,345000,2005
Van De Stadt,Beluga 46,46,Europe,Netherlands,297560,2005
Wauquiez,Centurion 40s,40,Europe,France,151876,2005
Wauquiez,Centurion 40s,40,Europe,France,151837,2005
Wauquiez,Centurion 40s,40,Caribbean,Panama,145817,2005
Wauquiez,Centurion 40s,40,Caribbean,Panama,139696,2005
Wauquiez,Centurion 40s,40,Caribbean,Panama,146196,2005
Wauquiez,Centurion 40s,40,Europe,Spain,132436,2005
Wauquiez,Pilot Saloon 40,41,Europe,Turkey,168843,2005
X-Yachts,40,40,Europe,Netherlands,200476,2005
X-Yachts,X-50,50,Europe,Italy,334042,2005
Alliage,44,44,Europe,France,358287,2006
Amel,54,56,Caribbean,Antigua and Barbuda,495000,2006
Bavaria,39 Cruiser,39,Europe,Croatia,102668,2006
Bavaria,39 Cruiser,39,Europe,Croatia,78955,2006
Bavaria,39 Cruiser,39,Europe,France,95961,2006
Bavaria,39 Cruiser,39,Europe,France,95961,2006
Bavaria,39 Cruiser,39,Europe,Germany,109201,2006
Bavaria,39 Cruiser,39,Europe,Greece,78955,2006
Bavaria,39 Cruiser,39,Europe,Greece,72760,2006
Bavaria,39 Cruiser,39,Europe,Slovenia,59520,2006
Bavaria,39 Cruiser,39,Europe,Spain,91102,2006
Bavaria,39 Cruiser,39,Europe,Turkey,94770,2006
Bavaria,42 Match,41,Europe,Croatia,57091,2006
Bavaria,42 Match,41,Europe,Croatia,57091,2006
Bavaria,42 Cruiser,42,USA,California,109000,2006
Bavaria,42 Cruiser ,42,Europe,Croatia,109065,2006
Bavaria,42 Cruiser,42,Europe,Italy,102034,2006
Bavaria,42 Cruiser,42,Europe,Netherlands,120862,2006
Bavaria,42 Cruiser,42,Europe,Portugal,145764,2006
Bavaria,Cruiser 46,46,Europe,Croatia,94770,2006
Bavaria,Cruiser 46,46,Europe,Croatia,89910,2006
Bavaria,Cruiser 46,46,Europe,Greece,129000,2006
Bavaria,Cruiser 46,46,Europe,Greece,127548,2006
Bavaria,Cruiser 46,46,Europe,Greece,109350,2006
Bavaria,Cruiser 46,46,Europe,Greece,108112,2006
Bavaria,Cruiser 46,46,Europe,Greece,103188,2006
Bavaria,Cruiser 46,46,Europe,Greece,102034,2006
Bavaria,Cruiser 46,46,Europe,Greece,100820,2006
Bavaria,Cruiser 46,46,Europe,Greece,99881,2006
Bavaria,Cruiser 50,49,Caribbean,Bahamas,184900,2006
Bavaria,50 Cruiser,49,Europe,Croatia,173094,2006
Bavaria,50 Cruiser,49,Europe,Croatia,127543,2006
Bavaria,50 Cruiser,49,Europe,Greece,121470,2006
Bavaria,50 Cruiser,49,Europe,Greece,117826,2006
Bavaria,50 Cruiser,49,Europe,Greece,97176,2006
Bavaria,50 Cruiser,49,Europe,Italy,121470,2006
Bavaria,50 Cruiser,49,Europe,Italy,115396,2006
Bavaria,50 Cruiser,49,Europe,Spain,139690,2006
Beneteau,Cyclades 39.3,39,USA,California,149000,2006
Beneteau,Cyclades 39.3 ,39,Europe,Croatia,74115,2006
Beneteau,Cyclades 39.3 ,39,Europe,Croatia,72639,2006
Beneteau,Cyclades 39.3 ,39,Europe,Greece,71667,2006
Beneteau,First 40.7,39,USA,Hawaii,160000,2006
Beneteau,Cyclades 39.3 ,39,USA,New York,90838,2006
Beneteau,Cyclades 39.3,39,USA,North Carolina,99000,2006
Beneteau,Cyclades 39.3 ,39,Europe,Portugal,99630,2006
Beneteau,Cyclades 39.3 ,39,Europe,Turkey,91102,2006
Beneteau,423,43,USA,Alabama,176000,2006
Beneteau,Cyclades 43.4,43,Europe,Croatia,97176,2006
Beneteau,Cyclades 43.4,43,Europe,Croatia,95961,2006
Beneteau,Cyclades 43.4,43,Europe,Croatia,88673,2006
Beneteau,Cyclades 43.4,43,Europe,Croatia,87458,2006
Beneteau,Oceanis 423,43,USA,Georgia,145900,2006
Beneteau,Oceanis Clipper 423,43,Europe,Greece,85017,2006
Beneteau,Oceanis Clipper 423,43,Europe,Malta,145764,2006
Beneteau,Cyclades 43.3,43,Europe,Malta,95961,2006
Beneteau,Oceanis 423,43,USA,New York,155969,2006
Beneteau,Oceanis 423,43,USA,New York,144900,2006
Beneteau,Oceanis 423,43,USA,New York,139900,2006
Beneteau,Oceanis 423,43,USA,Rhode Island,142000,2006
Beneteau,Oceanis 423,43,USA,South Carolina,155000,2006
Beneteau,Oceanis Clipper 423,43,Europe,Spain,95961,2006
Beneteau,423,43,Caribbean,Trinidad and Tobago,85000,2006
Beneteau,Oceanis 423,43,USA,Virginia,159900,2006
Beneteau,First 44.7,44,USA,Georgia,149000,2006
Beneteau,First 44.7,44,Europe,Greece,131187,2006
Beneteau,First 44.7,44,Europe,Italy,151837,2006
Beneteau,First 44.7,44,USA,New York,155000,2006
Beneteau,Oceanis 473,47,USA,California,229000,2006
Beneteau,Oceanis 473,47,Europe,Croatia,151837,2006
Beneteau,Oceanis 473,47,USA,Oregon,299000,2006
Beneteau,Oceanis 473,47,Europe,Spain,151876,2006
Beneteau,Oceanis 473,47,Europe,Spain,151876,2006
Beneteau,Oceanis 473,47,Europe,Spain,151876,2006
Beneteau,Oceanis Clipper 473,47,Europe,Spain,144586,2006
Beneteau,Oceanis Clipper 473,47,Europe,Spain,144586,2006
Beneteau,First 50,49,Europe,France,241734,2006
Beneteau,Oceanis 50,49,Europe,Greece,194359,2006
Beneteau,Oceanis 50,49,Europe,Greece,194351,2006
Beneteau,Oceanis 50,49,Europe,Greece,188278,2006
Beneteau,Oceanis 50,49,Europe,Greece,185858,2006
Beneteau,Oceanis 50,49,Caribbean,Grenada,189000,2006
Beneteau,Oceanis 50,49,Europe,Italy,205284,2006
Beneteau,Oceanis 50,49,Europe,Malta,206498,2006
Beneteau,Oceanis 50,49,Europe,Portugal,224719,2006
Beneteau,Oceanis 50 ,49,Europe,Romania,157668,2006
Beneteau,Oceanis 50,49,Europe,United Kingdom,199781,2006
Beneteau,Cyclades 50.5,51,Europe,Croatia,103249,2006
Beneteau,Cyclades 50.5,51,Europe,France,144549,2006
Beneteau,Oceanis 51,51,Caribbean,Grenada,139000,2006
Beneteau,Cyclades 50.5,51,USA,Washington,199900,2006
Beneteau,523,53,USA,California,337000,2006
Beneteau,Oceanis Clipper 523,53,Europe,Croatia,176131,2006
Beneteau,Oceanis Clipper 523,53,Europe,Greece,230792,2006
Beneteau,Oceanis 523 A,53,Europe,Romania,194108,2006
Beneteau,Oceanis 523,53,Europe,Spain,361980,2006
Beneteau,Oceanis 523,53,Europe,Spain,252657,2006
C&C,115,38,USA,California,129900,2006
C&C,115,38,USA,California,144900,2006
C&C,115,38,USA,Maryland,129000,2006
Cabo Rico,42,46,USA,Rhode Island,349000,2006
Catalina,387,38,USA,Maryland,135900,2006
Catalina,387,38,USA,North Carolina,159900,2006
Catalina,400 MK II,40,USA,Florida,145000,2006
Catalina,42 MK II,42,USA,Massachusetts,159900,2006
Catalina,Morgan 440,46,USA,Florida,219000,2006
Catalina ,Morgan 440 DS Sloop,46,Caribbean,Mexico,200000,2006
Comar,Comet 41S,41,Europe,Italy,139690,2006
Comar,Comet 41S,41,Europe,Italy,120255,2006
Delphia,40,39,Europe,Italy,78945,2006
Delphia,40,39,Europe,Sweden,159277,2006
Dufour,385 GL,38,Europe,France,103249,2006
Dufour,40 Performance,40,Europe,Spain,108108,2006
Dufour,44 Performance,44,Europe,Italy,132402,2006
Dufour,455,45,Europe,Greece,145764,2006
Dufour,455 GL,45,Europe,Greece,132402,2006
Dufour,455,45,Europe,Malta,163984,2006
Dufour,455 GL,45,Europe,Spain,168886,2006
Elan,Impression 384,38,Europe,Croatia,100212,2006
Elan,Impression 384,38,Europe,Croatia,93076,2006
Elan,Impression 384,38,Europe,Croatia,72882,2006
Elan,Impression 384,38,Europe,Croatia,59520,2006
Elan,434 Impression,44,Europe,Croatia,109080,2006
Elan,Impression 434,44,Europe,Malta,168843,2006
Elan,Impression 434,44,Europe,Spain,129973,2006
Elan,Impression 434,44,Europe,Spain,106893,2006
Elan,Impression 434,44,Europe,Sweden,201697,2006
Grand Soleil,40,41,Europe,Italy,145744,2006
Grand Soleil,40,41,Europe,Italy,111752,2006
Grand Soleil,43,43,Europe,Greece,157911,2006
Grand Soleil,45,45,Europe,Italy,200425,2006
Grand Soleil,45,45,Europe,Italy,193137,2006
Grand Soleil,45,45,Europe,Italy,176176,2006
Grand Soleil,45,45,Europe,Turkey,156742,2006
Grand Soleil,45,45,Europe,Turkey,144549,2006
Grand Soleil,50,49,Caribbean,Antigua and Barbuda,273182,2006
Grand Soleil,50,49,Europe,Italy,206498,2006
Hanse,400,40,Europe,France,108135,2006
Hanse,400,40,Europe,Greece,93249,2006
Hanse,400e,40,Europe,Italy,91102,2006
Hanse,400e,40,Europe,Netherlands,139690,2006
Hanse,400,40,Europe,Netherlands,115275,2006
Hanse,411,40,Europe,Spain,100820,2006
Hanse,461,46,Europe,France,200425,2006
Hanse,461,46,Europe,Italy,194351,2006
Hanse,461,46,Europe,Italy,162769,2006
Hanse,461,46,Europe,Italy,143371,2006
Hanse,461,46,Europe,Italy,143371,2006
Hanse,470e,47,Europe,Denmark,199990,2006
Hanse,540e,52,Europe,Spain,267233,2006
Hanse,531,53,Europe,Ireland,179782,2006
Hanse,531,53,Europe,Ireland,179775,2006
Harmony,38,38,Europe,United Kingdom,66549,2006
Harmony,47,47,Europe,Greece,82588,2006
Hunter,380,37,USA,Florida,109000,2006
Hunter,38,38,USA,Connecticut,95000,2006
Hunter,38,38,Europe,Cork,95961,2006
Hunter,38,38,USA,New Jersey,89900,2006
Hunter,38,38,USA,New York,117300,2006
Hunter,38,38,USA,New York,108551,2006
Hunter,38,38,USA,New York,94500,2006
Hunter,38,38,USA,North Carolina,119000,2006
Hunter,38,38,USA,Texas,105000,2006
Hunter,38,38,USA,Wisconsin,109400,2006
Hunter,41,40,USA,California,120000,2006
Hunter,41 DS,40,Europe,Greece,95948,2006
Hunter,41 Deck Salon,40,Europe,Greece,94733,2006
Hunter,41 DS,40,USA,New York,139000,2006
Hunter,41 DS,40,USA,North Carolina,149500,2006
Hunter,41 DS,40,USA,Ohio,149000,2006
Hunter,41 DS,40,USA,Washington,174500,2006
Hunter,44,44,USA,Florida,163000,2006
Hunter,44 Deck Salon,44,Caribbean,Mexico,159000,2006
Hunter,44 DS,44,USA,Rhode Island,169900,2006
Hunter,45 Center Cockpit,45,USA,California,205000,2006
Hunter,45 Center Cockpit,45,USA,Maryland,167500,2006
Hunter,45cc,45,USA,Wisconsin,179900,2006
Island Packet,440,45,USA,Florida,350000,2006
Island Packet,445,45,Europe,Gibraltar,279854,2006
Island Packet,445,45,Europe,Gibraltar,279845,2006
Island Packet,440,45,Europe,Netherlands,376505,2006
Island Packet,440,45,Europe,Netherlands,340008,2006
Island Packet,485,52,Europe,Netherlands,533252,2006
J Boats,J 122,40,USA,California,189000,2006
Jeanneau,Sun Odyssey 40.3,40,Europe,Croatia,119648,2006
Jeanneau,Sun Odyssey 40.3,40,Europe,Croatia,72760,2006
Jeanneau,Sun Odyssey 40.3,40,USA,Illinois,129500,2006
Jeanneau,Sun Odyssey 40.3,40,Europe,Italy,115396,2006
Jeanneau,Sun Odyssey 40.3,40,Europe,Italy,103249,2006
Jeanneau,Sun Odyssey 40.3,40,USA,Rhode Island,129900,2006
Jeanneau,Sun Odyssey 40.3,40,Europe,United Kingdom,113913,2006
Jeanneau,Sun Odyssey 42 DS,42,Caribbean,Mexico,180000,2006
Jeanneau,Sun Odyssey 42 DS,42,USA,Rhode Island,159000,2006
Jeanneau,Sun Odyssey 42 DS,42,Europe,Spain,133230,2006
Jeanneau,Sun Odyssey 43 DS,42,USA,Washington,198500,2006
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,173702,2006
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,139690,2006
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,115396,2006
Jeanneau,Sun Odyssey 45,45,USA,Florida,169000,2006
Jeanneau,Sun Odyssey 45,45,Europe,Greece,109323,2006
Jeanneau,Sun Odyssey 45,45,Europe,Greece,103188,2006
Jeanneau,Sun Odyssey 45,45,Europe,Spain,156696,2006
Jeanneau,Sun Odyssey 45,45,Europe,Spain,132436,2006
Jeanneau,Sun Odyssey 45,45,Europe,Spain,132402,2006
Jeanneau,Sun Odyssey 48 DS,48,Europe,France,206507,2006
Jeanneau,Sun Odyssey 49 DS,49,Europe,Croatia,132407,2006
Jeanneau,Sun Odyssey 49 DS,49,USA,Florida,278165,2006
Jeanneau,Sun Odyssey 49 DS,49,USA,Florida,175000,2006
Jeanneau,Sun Odyssey 49 DS,49,Europe,France,200433,2006
Jeanneau,Sun Odyssey 49 Owners version,49,Europe,Greece,252667,2006
Jeanneau,Sun Odyssey 49,49,Europe,Greece,115396,2006
Jeanneau,Sun Odyssey 49 DS,49,Europe,Italy,206507,2006
Jeanneau,Sun Odyssey 49,49,USA,Michigan,279900,2006
Jeanneau,Sun Odyssey 49,49,USA,Michigan,249900,2006
Jeanneau,Sun Odyssey 49 DS,49,Europe,Spain,224728,2006
Jeanneau,Sun Odyssey 54 DS,55,Europe,Croatia,179775,2006
Jeanneau,Sun Odyssey 54 DS,55,Europe,Greece,299771,2006
Jeanneau,Sun Odyssey 54 DS,55,Europe,Italy,230792,2006
Najad,440 CC,44,Europe,United Kingdom,413104,2006
Nordship,DSC 38,38,Europe,France,200425,2006
Oyster,46,46,USA,Rhode Island,499000,2006
Passport,470,47,USA,Maryland,489000,2006
Passport,Vista 515 Center Cockpit,51,USA,Maryland,635000,2006
Sabre,386,38,USA,New York,194995,2006
Sabre,426,42,USA,Florida,285000,2006
Sabre,426,42,USA,Maryland,285000,2006
Tayana,48,48,USA,California,386000,2006
Wauquiez,Centurion 40s,40,Europe,France,170057,2006
Wauquiez,Pilot Saloon 41,42,Europe,Ireland,156696,2006
Wauquiez,Pilot Saloon 41,42,Europe,Spain,193137,2006
Wauquiez,Pilot Saloon 47,47,Europe,Greece,279391,2006
X-Yachts,X-40,40,Europe,France,180990,2006
X-Yachts,X-40,40,Europe,Italy,212572,2006
X-Yachts,X-43,43,Europe,France,208928,2006
X-Yachts,X-50,50,Europe,Belgium,425144,2006
X-Yachts,50,50,Europe,Denmark,358209,2006
X-Yachts,X-50,50,Europe,France,388703,2006
Zuanelli,52 DH,52,Europe,Italy,346188,2006
Allures,44,44,Europe,France,290312,2007
Alubat,Ovni 395,41,Europe,Italy,194351,2007
Alubat,CIGALE 16,54,Europe,Spain,352262,2007
Amel,54,56,Europe,Spain,504099,2007
Archambault,40 RC,39,Europe,Greece,119024,2007
Bavaria,39 Cruiser,39,Europe,Croatia,123292,2007
Bavaria,39 Cruiser,39,Europe,Croatia,91102,2007
Bavaria,39 Cruiser,39,USA,Florida,85900,2007
Bavaria,39 Cruiser,39,Europe,Greece,97176,2007
Bavaria,39 Cruiser,39,Europe,Greece,69238,2007
Bavaria,39 Cruiser,39,Europe,Greece,68040,2007
Bavaria,39 Cruiser,39,Europe,Greece,68023,2007
Bavaria,39 Cruiser,39,Europe,Greece,67537,2007
Bavaria,39 Cruiser,39,Europe,Spain,91102,2007
Bavaria,39 Cruiser,39,Europe,United Kingdom,99898,2007
Bavaria,44 Vision,45,Europe,Bulgaria,139690,2007
Bavaria,44 Vision,45,Europe,Italy,156696,2007
Bavaria,44 Vision,45,Europe,Netherlands,176131,2007
Bavaria,Cruiser 46,46,Europe,Croatia,133009,2007
Bavaria,Cruiser 46,46,Europe,Croatia,131795,2007
Bavaria,Cruiser 46,46,Europe,Croatia,91831,2007
Bavaria,46 Cruiser,46,USA,Florida,129900,2007
Bavaria,Cruiser 46,46,Europe,Greece,105705,2007
Bavaria,Cruiser 46,46,Europe,Italy,115396,2007
Bavaria,Cruiser 46,46,Caribbean,Martinique,151892,2007
Bavaria,50 Cruiser,49,Europe,Croatia,180382,2007
Bavaria,50 Cruiser,49,Europe,Croatia,173094,2007
Bavaria,50 Cruiser,49,Europe,Croatia,108108,2007
Bavaria,50 Cruiser,49,Europe,Croatia,107486,2007
Bavaria,50 Cruiser,49,Europe,Croatia,94746,2007
Bavaria,50 Cruiser,49,Europe,Italy,145769,2007
Bavaria,50 Cruiser,49,Europe,Italy,133617,2007
Bavaria,50 Cruiser,49,Europe,Italy,121470,2007
Bavaria,50 Cruiser,49,Europe,Malta,184634,2007
Bavaria,50 Cruiser,49,Europe,Spain,182212,2007
Bavaria ,Cruiser 46,46,Caribbean,Saint Lucia,152910,2007
Bavaria ,Cruiser 50,49,Caribbean,Martinique,200498,2007
